Test_Time(s),Voltage(V)
1.0004,3.330509
2.0006,3.331364
3.0004,3.330784
4.0003,3.329746
5.0006,3.330204
6.0004,3.329807
7.0001,3.330936
8.0005,3.33057
9.0002,3.330326
10.0005,3.329411
11.0003,3.330662
12.0004,3.329807
13.0004,3.330509
14.0001,3.330631
15.0003,3.331455
16.0002,3.330967
17.0004,3.330723
18.0004,3.331699
19.0003,3.330051
20.0004,3.33054
21.0006,3.331516
22.0002,3.331455
23.0002,3.331089
24.0007,3.331089
25.0001,3.332222
26.0001,3.330845
27.0003,3.331669
28.0002,3.331486
29.0005,3.33173
30.0004,3.330906
31.0001,3.331699
32.0007,3.330845
33.0006,3.332222
34.0002,3.331242
35.0005,3.329624
36.0001,3.330875
37.0005,3.329899
38.0004,3.330692
39.0003,3.329868
40.0005,3.329777
41.0002,3.330265
42.0001,3.330845
43.0001,3.331242
44.0005,3.331333
45.0003,3.33176
46.0002,3.330235
47.0005,3.331638
48.0004,3.330906
49.0004,3.331028
50.0003,3.330662
51.0003,3.331333
52.0006,3.330814
53.0003,3.33057
54.0004,3.330967
55.0001,3.330997
56.0006,3.330692
57.0003,3.330662
58.0006,3.33115
59.0007,3.330387
60.0004,3.330692
60.0011,3.330814
61.6928,3.404572
62.6924,3.409241
63.6927,3.410797
64.6928,3.416142
65.6929,3.418613
66.6925,3.422977
67.6926,3.426029
68.6928,3.429359
69.6928,3.434486
70.6929,3.437935
71.6929,3.441967
72.6927,3.446484
73.6927,3.450207
74.6925,3.456314
75.6927,3.460526
76.6924,3.465412
77.6927,3.469349
78.6926,3.474873
79.693,3.481133
80.6931,3.486595
81.6923,3.493191
82.6926,3.499081
83.6926,3.503357
84.6926,3.50946
85.6928,3.516209
86.6925,3.522587
87.6927,3.528786
88.6928,3.53648
89.693,3.543896
90.6923,3.552444
91.6926,3.559341
92.6929,3.567097
93.6927,3.576683
94.6925,3.584957
95.6923,3.594601
96.6923,3.603424
97.6927,3.613773
98.6929,3.62397
99.6928,3.634411
100.6923,3.644852
101.693,3.655537
102.6926,3.666737
103.6929,3.679348
104.6923,3.690914
105.6929,3.702118
106.6927,3.713779
107.6925,3.72541
