Ah,SOC,V,A,Wh,time,tp,tn,tb,ta
0.000389,100.00%,3.318547,-140.0995,-0.001291,0,34.92,34.95,35.03,35.05
0.389044,99.86%,3.294077,-140.0495,-1.285053,10,35.03,35.03,35,35.05
0.778087,99.72%,3.284083,-140.0639,-2.564453,20,35.12,35.07,35.08,35.09
1.167132,99.58%,3.27845,-140.0628,-3.840909,30,35.14,35.21,35,34.98
1.55618,99.44%,3.27528,-140.06,-5.115696,40,35.27,35.28,34.94,34.94
1.945229,99.31%,3.273609,-140.0571,-6.389579,50,35.26,35.35,34.99,35.04
2.334281,99.17%,3.272756,-140.0589,-7.662997,60,35.33,35.47,34.98,35
2.723335,99.03%,3.272346,-140.0632,-8.93619,70,35.37,35.58,34.97,35.04
3.112392,98.89%,3.272234,-140.0635,-10.20929,80,35.45,35.64,35.02,35
3.501449,98.75%,3.272202,-140.0637,-11.48236,90,35.48,35.65,35.02,34.98
3.890508,98.61%,3.272196,-140.0568,-12.75544,100,35.47,35.62,35.02,34.93
4.279569,98.47%,3.272279,-140.0719,-14.02854,110,35.53,35.76,35.01,35.08
4.668633,98.33%,3.272362,-140.0676,-15.30168,120,35.56,35.86,35.06,35.04
5.057698,98.19%,3.272451,-140.0601,-16.57485,130,35.66,35.84,35.02,35.04
5.446764,98.06%,3.272501,-140.0708,-17.84805,140,35.68,35.9,35.02,35.05
5.83583,97.92%,3.272578,-140.0587,-19.12128,150,35.67,35.98,35,35.03
6.224897,97.78%,3.272642,-140.0591,-20.39455,160,35.72,35.97,35.06,35.06
6.613962,97.64%,3.272715,-140.0667,-21.66783,170,35.7,36.05,35.11,35.11
7.003031,97.50%,3.272753,-140.0633,-22.94115,180,35.81,36.08,35.1,35.05
7.392101,97.36%,3.272794,-140.0708,-24.21449,190,35.74,36.06,35.06,35.04
7.781168,97.22%,3.27289,-140.0619,-25.48784,200,35.84,36.12,35.13,35.12
8.170237,97.08%,3.272909,-140.0637,-26.76122,210,35.77,36.16,35.09,35.08
8.559307,96.94%,3.272944,-140.0621,-28.03462,220,35.86,36.24,35.1,35.01
8.948379,96.81%,3.272976,-140.066,-29.30804,230,35.93,36.22,35.18,35.12
9.337448,96.67%,3.272988,-140.0658,-30.58146,240,35.94,36.29,35.12,35.05
9.72652,96.53%,3.273039,-140.0639,-31.8549,250,35.95,36.3,35.2,35.06
10.11559,96.39%,3.273068,-140.0623,-33.12835,260,35.92,36.3,35.13,35.08
10.50466,96.25%,3.273062,-140.0687,-34.4018,270,35.97,36.3,35.19,35.03
10.89373,96.11%,3.273055,-140.0603,-35.67526,280,35.98,36.34,35.18,35.03
11.28281,95.97%,3.273071,-140.0678,-36.94873,290,36.03,36.4,35.26,35.05
11.67188,95.83%,3.273081,-140.0644,-38.22221,300,35.98,36.36,35.27,35.08
12.06096,95.69%,3.273065,-140.0758,-39.49568,310,36,36.46,35.23,35.07
12.45004,95.56%,3.273093,-140.0623,-40.76916,320,36.09,36.49,35.22,35.08
12.83911,95.42%,3.273084,-140.0706,-42.04264,330,36.07,36.48,35.26,35.04
13.22818,95.28%,3.273068,-140.0619,-43.31611,340,36.14,36.54,35.28,35.05
13.61726,95.14%,3.27309,-140.0594,-44.58958,350,36.11,36.61,35.21,35.08
14.00634,95.00%,3.273084,-140.0699,-45.86305,360,36.08,36.6,35.3,35.16
14.39541,94.86%,3.273039,-140.0724,-47.13652,370,36.17,36.64,35.28,35.13
14.78448,94.72%,3.273052,-140.0699,-48.40998,380,36.15,36.54,35.32,35.13
15.17356,94.58%,3.272988,-140.0655,-49.68343,390,36.17,36.65,35.33,35.11
15.56264,94.44%,3.273008,-140.0726,-50.95688,400,36.2,36.64,35.3,35.07
15.95171,94.31%,3.273023,-140.074,-52.23033,410,36.24,36.62,35.36,35.12
16.34079,94.17%,3.272976,-140.0621,-53.50377,420,36.21,36.69,35.27,35.07
16.72987,94.03%,3.272944,-140.0708,-54.77721,430,36.26,36.75,35.39,35.02
17.11895,93.89%,3.272883,-140.0697,-56.05063,440,36.27,36.69,35.37,35.1
17.50803,93.75%,3.272874,-140.0719,-57.32404,450,36.36,36.72,35.39,35.06
17.89711,93.61%,3.27289,-140.0678,-58.59744,460,36.37,36.8,35.35,35.1
18.28618,93.47%,3.272826,-140.0626,-59.87083,470,36.25,36.72,35.4,35.11
18.67526,93.33%,3.272763,-140.0642,-61.14421,480,36.34,36.77,35.4,35.06
19.06434,93.19%,3.272766,-140.0706,-62.41757,490,36.34,36.76,35.37,35.07
19.45341,93.06%,3.272766,-140.0742,-63.69092,500,36.36,36.79,35.43,35.11
19.84249,92.92%,3.272724,-140.0701,-64.96426,510,36.42,36.75,35.45,35.09
20.23156,92.78%,3.272699,-140.0678,-66.23759,520,36.41,36.86,35.49,35.09
20.62063,92.64%,3.272651,-140.0662,-67.51089,530,36.38,36.87,35.46,35.07
21.00971,92.50%,3.272575,-140.074,-68.78419,540,36.36,36.9,35.5,35.1
21.39878,92.36%,3.272572,-140.0692,-70.05746,550,36.45,36.92,35.48,35.02
21.78786,92.22%,3.27254,-140.0733,-71.33073,560,36.47,36.88,35.51,35.1
22.17693,92.08%,3.272498,-140.0724,-72.60399,570,36.47,36.83,35.48,35.1
22.56601,91.94%,3.272457,-140.0754,-73.87723,580,36.46,36.93,35.48,35.07
22.95509,91.81%,3.272438,-140.0569,-75.15045,590,36.36,37.02,35.53,35.06
23.34416,91.67%,3.272352,-140.074,-76.42366,600,36.46,36.93,35.58,35.09
23.73323,91.53%,3.272298,-140.0669,-77.69684,610,36.47,36.94,35.52,35.1
24.12231,91.39%,3.272285,-140.0589,-78.97001,620,36.49,36.95,35.58,35.16
24.51139,91.25%,3.272187,-140.0719,-80.24316,630,36.52,37.05,35.54,35.1
24.90047,91.11%,3.272167,-140.0596,-81.51629,640,36.55,37.03,35.56,35.15
25.28954,90.97%,3.272094,-140.0744,-82.78941,650,36.61,36.97,35.62,35.15
25.67862,90.83%,3.272059,-140.0642,-84.06251,660,36.59,37.01,35.67,35.08
26.0677,90.70%,3.272002,-140.0667,-85.33559,670,36.56,37.04,35.59,35.12
26.45677,90.56%,3.271983,-140.0742,-86.60863,680,36.65,37.04,35.57,35.21
26.84585,90.42%,3.271929,-140.0781,-87.88168,690,36.56,37.11,35.62,35.24
27.23493,90.28%,3.271855,-140.0731,-89.15469,700,36.64,37.1,35.69,35.29
27.624,90.14%,3.271792,-140.0726,-90.42769,710,36.66,37.15,35.72,35.19
28.01308,90.00%,3.271795,-140.0578,-91.70067,720,36.64,37.13,35.65,35.29
28.40215,89.86%,3.271693,-140.069,-92.97363,730,36.66,37.12,35.75,35.3
28.79123,89.72%,3.271649,-140.0744,-94.24656,740,36.7,37.24,35.73,35.34
29.18031,89.58%,3.27161,-140.0594,-95.51948,750,36.78,37.21,35.77,35.4
29.56938,89.45%,3.271518,-140.0616,-96.79237,760,36.7,37.21,35.76,35.38
29.95846,89.31%,3.271499,-140.0715,-98.06524,770,36.73,37.15,35.68,35.32
30.34753,89.17%,3.27147,-140.0703,-99.33808,780,36.75,37.22,35.71,35.26
30.73661,89.03%,3.2714,-140.0665,-100.6109,790,36.75,37.23,35.81,35.24
31.12568,88.89%,3.27133,-140.0616,-101.8837,800,36.79,37.21,35.82,35.31
31.51476,88.75%,3.271241,-140.076,-103.1565,810,36.79,37.28,35.85,35.31
31.90384,88.61%,3.271181,-140.0703,-104.4292,820,36.82,37.29,35.76,35.31
32.29291,88.47%,3.271142,-140.0644,-105.702,830,36.88,37.27,35.82,35.35
32.68198,88.33%,3.27106,-140.0637,-106.9747,840,36.86,37.31,35.88,35.29
33.07106,88.20%,3.271012,-140.0628,-108.2473,850,36.78,37.32,35.85,35.31
33.46014,88.06%,3.270971,-140.0731,-109.52,860,36.79,37.32,35.86,35.28
33.84921,87.92%,3.270856,-140.0683,-110.7926,870,36.85,37.35,35.85,35.27
34.23829,87.78%,3.270815,-140.0626,-112.0652,880,36.87,37.3,35.88,35.33
34.62737,87.64%,3.270707,-140.0653,-113.3378,890,36.87,37.24,35.84,35.32
35.01645,87.50%,3.270669,-140.0701,-114.6104,900,36.84,37.31,35.89,35.31
35.40552,87.36%,3.270617,-140.0685,-115.8829,910,36.86,37.4,35.81,35.3
35.7946,87.22%,3.270602,-140.0756,-117.1554,920,36.91,37.39,35.92,35.37
36.18367,87.08%,3.270474,-140.0674,-118.4279,930,36.93,37.38,35.96,35.34
36.57275,86.95%,3.270442,-140.0699,-119.7003,940,36.96,37.38,35.95,35.39
36.96182,86.81%,3.27034,-140.0758,-120.9727,950,36.91,37.41,35.95,35.38
37.35089,86.67%,3.270261,-140.074,-122.2451,960,36.88,37.49,35.98,35.33
37.73997,86.53%,3.270236,-140.0562,-123.5175,970,36.94,37.43,35.99,35.32
38.12904,86.39%,3.270153,-140.0582,-124.7899,980,36.82,37.4,36.04,35.35
38.51812,86.25%,3.270073,-140.0651,-126.0622,990,36.93,37.48,35.97,35.28
38.90719,86.11%,3.26999,-140.0571,-127.3344,1000,36.91,37.44,35.98,35.24
39.29627,85.97%,3.26986,-140.0628,-128.6067,1010,36.95,37.41,35.93,35.32
39.68535,85.83%,3.26978,-140.0655,-129.8789,1020,36.98,37.43,36.03,35.24
