Ah,SOC,V,A,Wh,time
0.000777,100.00%,3.338357,280.0874,0.002594,0
0.77799,99.72%,3.249971,280.0807,2.54944,10
1.555982,99.44%,3.228533,280.0676,5.068288,20
2.333976,99.16%,3.22005,280.0943,7.576234,30
3.111975,98.88%,3.216953,280.0773,10.08004,40
3.889976,98.60%,3.215716,280.0746,12.58229,50
4.66798,98.32%,3.215133,280.0827,15.08388,60
5.445989,98.04%,3.214814,280.087,17.58516,70
6.224002,97.76%,3.21464,280.0884,20.08626,80
7.002018,97.48%,3.214528,280.0849,22.58727,90
7.780035,97.20%,3.214479,280.0771,25.0882,100
8.558055,96.92%,3.214434,280.0841,27.58911,110
9.336073,96.65%,3.214396,280.0914,30.08997,120
10.11409,96.37%,3.214369,280.092,32.59082,130
10.89211,96.09%,3.214345,280.0817,35.09164,140
11.67013,95.81%,3.214278,280.0864,37.59244,150
12.44815,95.53%,3.214242,280.0934,40.09321,160
13.22617,95.25%,3.214214,280.0897,42.59395,170
14.0042,94.97%,3.214163,280.0892,45.09466,180
14.78222,94.69%,3.214089,280.0925,47.59532,190
15.56025,94.41%,3.214027,280.0899,50.09593,200
16.33827,94.13%,3.213953,280.0932,52.59649,210
17.1163,93.85%,3.213896,280.0816,55.09701,220
17.89433,93.57%,3.213817,280.0883,57.59748,230
18.67235,93.29%,3.213728,280.0834,60.09788,240
19.45038,93.01%,3.21362,280.0883,62.59822,250
20.22842,92.73%,3.213539,280.0878,65.09848,260
21.00645,92.45%,3.213444,280.0864,67.59867,270
21.78448,92.17%,3.213346,280.0933,70.09879,280
22.56251,91.89%,3.213251,280.0923,72.59884,290
23.34054,91.61%,3.213151,280.0899,75.0988,300
24.11858,91.33%,3.213026,280.0897,77.59868,310
24.89661,91.05%,3.212905,280.0899,80.09846,320
25.67464,90.77%,3.212771,280.0904,82.59816,330
26.45267,90.49%,3.212672,280.0847,85.09777,340
27.23071,90.21%,3.212514,280.093,87.59727,350
28.00874,89.94%,3.212404,280.0951,90.09667,360
28.78677,89.66%,3.212283,280.094,92.59598,370
29.5648,89.38%,3.212147,280.0932,95.09518,380
30.34284,89.10%,3.211972,280.0878,97.59428,390
31.12087,88.82%,3.211833,280.0972,100.0933,400
31.89891,88.54%,3.211691,280.0883,102.5921,410
32.67694,88.26%,3.211555,280.0947,105.0909,420
33.45498,87.98%,3.211401,280.101,107.5895,430
34.23302,87.70%,3.211243,280.0953,110.088,440
35.01105,87.42%,3.211114,280.0946,112.5864,450
35.78909,87.14%,3.210936,280.0874,115.0847,460
36.56713,86.86%,3.210775,280.0972,117.5829,470
37.34517,86.58%,3.210622,280.0913,120.0809,480
38.1232,86.30%,3.210452,280.0965,122.5788,490
38.90124,86.02%,3.210276,280.0963,125.0766,500
39.67928,85.74%,3.210119,280.0904,127.5742,510
40.45731,85.46%,3.209932,280.0871,130.0717,520
41.23535,85.18%,3.209771,280.0862,132.5691,530
42.01338,84.90%,3.209601,280.0913,135.0664,540
42.79142,84.62%,3.209398,280.1008,137.5635,550
43.56945,84.34%,3.209228,280.0923,140.0604,560
44.34749,84.06%,3.209041,280.0914,142.5573,570
45.12553,83.78%,3.208857,280.0855,145.0539,580
45.90356,83.51%,3.208683,280.0895,147.5504,590
46.6816,83.23%,3.208456,280.0998,150.0468,600
47.45964,82.95%,3.208276,280.093,152.5431,610
48.23768,82.67%,3.208089,280.0984,155.0392,620
49.01572,82.39%,3.207879,280.0954,157.5351,630
49.79376,82.11%,3.2077,280.0986,160.0309,640
50.5718,81.83%,3.207493,280.0871,162.5265,650
51.34983,81.55%,3.207304,280.088,165.022,660
52.12787,81.27%,3.207094,280.0905,167.5173,670
52.9059,80.99%,3.206886,280.0891,170.0124,680
53.68394,80.71%,3.206691,280.0991,172.5074,690
54.46198,80.43%,3.206461,280.0966,175.0023,700
55.24001,80.15%,3.20626,280.0939,177.4969,710
56.01805,79.87%,3.206043,280.0966,179.9914,720
56.79608,79.59%,3.205832,280.0986,182.4857,730
57.57412,79.31%,3.205602,280.0914,184.9799,740
58.35215,79.03%,3.20539,280.0948,187.4739,750
59.13018,78.75%,3.205153,280.0911,189.9677,760
59.90822,78.47%,3.204962,280.0928,192.4614,770
60.68626,78.19%,3.204739,280.0954,194.9549,780
61.46429,77.91%,3.204501,280.0926,197.4482,790
62.24233,77.63%,3.204289,280.097,199.9413,800
63.02036,77.35%,3.20406,280.0847,202.4343,810
63.7984,77.07%,3.203843,280.0895,204.9271,820
64.57643,76.80%,3.203619,280.093,207.4197,830
65.35446,76.52%,3.203396,280.0909,209.9121,840
66.1325,76.24%,3.20315,280.082,212.4044,850
66.91053,75.96%,3.20295,280.0986,214.8965,860
67.68857,75.68%,3.202717,280.0931,217.3884,870
68.46661,75.40%,3.202486,280.0981,219.8801,880
69.24464,75.12%,3.202242,280.0877,222.3716,890
70.02267,74.84%,3.202,280.1003,224.863,900
70.8007,74.56%,3.201773,280.0982,227.3542,910
71.57874,74.28%,3.201514,280.0996,229.8452,920
72.35678,74.00%,3.201293,280.0962,232.336,930
73.13482,73.72%,3.201071,280.0919,234.8266,940
73.91285,73.44%,3.20082,280.0961,237.3171,950
74.69089,73.16%,3.200602,280.0967,239.8073,960
75.46892,72.88%,3.200345,280.098,242.2974,970
76.24695,72.60%,3.200097,280.094,244.7873,980
77.02499,72.32%,3.199872,280.0949,247.277,990
77.80302,72.04%,3.199617,280.0928,249.7665,1000
78.58105,71.76%,3.199371,280.0846,252.2558,1010
79.35908,71.48%,3.199157,280.0876,254.7449,1020
80.13712,71.20%,3.198909,280.0835,257.2339,1030
80.91515,70.92%,3.198656,280.0973,259.7227,1040
81.69318,70.64%,3.19841,280.0907,262.2112,1050
82.47121,70.37%,3.198153,280.0889,264.6996,1060
83.24924,70.09%,3.197943,280.0928,267.1877,1070
84.02728,69.81%,3.197676,280.0916,269.6758,1080
84.80531,69.53%,3.197447,280.0881,272.1636,1090
85.58334,69.25%,3.197175,280.088,274.6512,1100
86.36138,68.97%,3.196921,280.0925,277.1386,1110
87.13941,68.69%,3.196692,280.0945,279.6258,1120
87.91744,68.41%,3.196441,280.0949,282.1129,1130
88.69548,68.13%,3.196191,280.0925,284.5997,1140
89.47351,67.85%,3.195932,280.0831,287.0863,1150
90.25155,67.57%,3.195694,280.0975,289.5728,1160
91.02958,67.29%,3.195414,280.0938,292.0591,1170
91.80762,67.01%,3.195168,280.0961,294.5451,1180
92.58565,66.73%,3.194928,280.0954,297.0309,1190
93.36369,66.45%,3.194716,280.094,299.5166,1200
94.14172,66.17%,3.194466,280.088,302.0021,1210
94.91975,65.89%,3.194188,280.093,304.4874,1220
95.69778,65.61%,3.19395,280.0935,306.9725,1230
96.47582,65.33%,3.193704,280.0851,309.4574,1240
97.25386,65.05%,3.193448,280.0973,311.9421,1250
98.03189,64.77%,3.193184,280.089,314.4266,1260
98.80993,64.49%,3.192921,280.1021,316.9109,1270
99.58797,64.21%,3.192671,280.0935,319.3951,1280
100.366,63.93%,3.192414,280.0904,321.879,1290
101.144,63.66%,3.192177,280.0853,324.3627,1300
101.9221,63.38%,3.191914,280.0946,326.8462,1310
102.7001,63.10%,3.191648,280.0887,329.3295,1320
103.4781,62.82%,3.19139,280.0933,331.8126,1330
104.2562,62.54%,3.191154,280.0939,334.2955,1340
105.0342,62.26%,3.190891,280.0917,336.7782,1350
105.8122,61.98%,3.19063,280.0906,339.2607,1360
106.5903,61.70%,3.190354,280.0999,341.743,1370
107.3683,61.42%,3.190093,280.0947,344.2251,1380
108.1463,61.14%,3.189832,280.0895,346.707,1390
108.9244,60.86%,3.189574,280.0921,349.1888,1400
109.7024,60.58%,3.189342,280.0888,351.6703,1410
110.4804,60.30%,3.189073,280.0961,354.1515,1420
111.2585,60.02%,3.188799,280.0975,356.6326,1430
112.0365,59.74%,3.188551,280.0869,359.1135,1440
112.8145,59.46%,3.188267,280.0937,361.5942,1450
113.5926,59.18%,3.187991,280.1001,364.0746,1460
114.3706,58.90%,3.187713,280.0921,366.5549,1470
115.1486,58.62%,3.187454,280.0956,369.035,1480
115.9267,58.34%,3.187174,280.0967,371.5148,1490
116.7047,58.06%,3.186909,280.0937,373.9944,1500
117.4827,57.78%,3.186646,280.0888,376.4739,1510
118.2608,57.50%,3.186378,280.0914,378.9531,1520
119.0388,57.22%,3.18612,280.0948,381.4321,1530
119.8168,56.95%,3.18585,280.0913,383.9109,1540
120.5949,56.67%,3.185547,280.0918,386.3895,1550
121.3729,56.39%,3.18529,280.0945,388.8678,1560
122.1509,56.11%,3.184999,280.0895,391.346,1570
122.929,55.83%,3.184721,280.097,393.8239,1580
123.707,55.55%,3.184456,280.0935,396.3016,1590
124.485,55.27%,3.184147,280.0945,398.7791,1600
125.2631,54.99%,3.183869,280.0916,401.2564,1610
126.0411,54.71%,3.183578,280.0873,403.7334,1620
126.8191,54.43%,3.183304,280.0968,406.2102,1630
127.5972,54.15%,3.183003,280.0865,408.6868,1640
128.3752,53.87%,3.18271,280.1005,411.1632,1650
129.1532,53.59%,3.182447,280.0801,413.6394,1660
129.9313,53.31%,3.182148,280.0945,416.1153,1670
