real_time,real_voltage,simu_time,simu_voltage
1.0004,3.330509,1.0,3.3448669550020087
2.0006,3.331364,2.0,3.344971893141618
3.0004,3.330784,3.0,3.3450768312812276
4.0003,3.329746,4.0,3.3451817694208374
5.0006,3.330204,5.0,3.345286707560447
6.0004,3.329807,6.0,3.3453916457000563
7.0001,3.330936,7.0,3.3454965838396657
8.0005,3.33057,8.0,3.345601521979275
9.0002,3.330326,9.0,3.3457064601188846
10.0005,3.329411,10.0,3.345811398258494
11.0003,3.330662,11.0,3.3459163363981035
12.0004,3.329807,12.0,3.3460212745377134
13.0004,3.330509,13.0,3.346126212677323
14.0001,3.330631,14.0,3.3462311508169322
15.0003,3.331455,15.0,3.3463360889565417
16.0002,3.330967,16.0,3.346441027096151
17.0004,3.330723,17.0,3.3465459652357605
18.0004,3.331699,18.0,3.34665090337537
19.0003,3.330051,19.0,3.3467558415149794
20.0004,3.33054,20.0,3.3468607796545893
21.0006,3.331516,21.0,3.3469657177941987
22.0002,3.331455,22.0,3.347070655933808
23.0002,3.331089,23.0,3.3471755940734176
24.0007,3.331089,24.0,3.347280532213027
25.0001,3.332222,25.0,3.3473854703526364
26.0001,3.330845,26.0,3.347490408492246
27.0003,3.331669,27.0,3.3475953466318558
28.0002,3.331486,28.0,3.347700284771465
29.0005,3.33173,29.0,3.3478052229110746
30.0004,3.330906,30.0,3.347910161050684
31.0001,3.331699,31.0,3.3480150991902935
32.0007,3.330845,32.0,3.348120037329903
33.0006,3.332222,33.0,3.3482249754695124
34.0002,3.331242,34.0,3.348329913609122
35.0005,3.329624,35.0,3.3484348517487317
36.0001,3.330875,36.0,3.348539789888341
37.0005,3.329899,37.0,3.3486447280279505
38.0004,3.330692,38.0,3.34874966616756
39.0003,3.329868,39.0,3.3488546043071694
40.0005,3.329777,40.0,3.348959542446779
41.0002,3.330265,41.0,3.3490644805863883
42.0001,3.330845,42.0,3.349169418725998
43.0001,3.331242,43.0,3.3492743568656076
44.0005,3.331333,44.0,3.349379295005217
45.0003,3.33176,45.0,3.3494842331448265
46.0002,3.330235,46.0,3.349589171284436
47.0005,3.331638,47.0,3.3496941094240453
48.0004,3.330906,48.0,3.3497990475636548
49.0004,3.331028,49.0,3.349903985703264
50.0003,3.330662,50.0,3.350008923842874
51.0003,3.331333,51.0,3.3501138619824835
52.0006,3.330814,52.0,3.350218800122093
53.0003,3.33057,53.0,3.3503237382617024
54.0004,3.330967,54.0,3.350428676401312
55.0001,3.330997,55.0,3.3505336145409212
56.0006,3.330692,56.0,3.3506385526805307
57.0003,3.330662,57.0,3.35074349082014
58.0006,3.33115,58.0,3.35084842895975
59.0007,3.330387,59.0,3.3509533670993594
60.0004,3.330692,60.0,3.351058305238969
60.0011,3.330814,61.0,3.3511632433785783
61.6928,3.404572,62.0,3.351182254733758
62.6924,3.409241,63.0,3.3512012660889376
63.6927,3.410797,64.0,3.3512202774441175
64.6928,3.416142,65.0,3.351239288799297
65.6929,3.418613,66.0,3.351258300154477
66.6925,3.422977,67.0,3.3512773115096564
67.6926,3.426029,68.0,3.3512963228648363
68.6928,3.429359,69.0,3.3513153342200157
69.6928,3.434486,70.0,3.3513343455751956
70.6929,3.437935,71.0,3.351353356930375
71.6929,3.441967,72.0,3.351372368285555
72.6927,3.446484,73.0,3.3513913796407344
73.6927,3.450207,74.0,3.3514103909959143
74.6925,3.456314,75.0,3.351429402351094
75.6927,3.460526,76.0,3.3514484137062737
76.6924,3.465412,77.0,3.3514674250614536
77.6927,3.469349,78.0,3.351486436416633
78.6926,3.474873,79.0,3.351505447771813
79.693,3.481133,80.0,3.3515244591269924
80.6931,3.486595,81.0,3.3515434704821723
81.6923,3.493191,82.0,3.3515624818373517
82.6926,3.499081,83.0,3.3515814931925316
83.6926,3.503357,84.0,3.351600504547711
84.6926,3.50946,85.0,3.351619515902891
85.6928,3.516209,86.0,3.351638527258071
86.6925,3.522587,87.0,3.3516575386132503
87.6927,3.528786,88.0,3.3516765499684302
88.6928,3.53648,89.0,3.3516955613236097
89.693,3.543896,90.0,3.3517145726787896
90.6923,3.552444,91.0,3.351733584033969
91.6926,3.559341,92.0,3.351752595389149
92.6929,3.567097,93.0,3.3517716067443284
93.6927,3.576683,94.0,3.3517906180995083
94.6925,3.584957,95.0,3.3518096294546877
95.6923,3.594601,96.0,3.3518286408098676
96.6923,3.603424,97.0,3.351847652165047
97.6927,3.613773,98.0,3.351866663520227
98.6929,3.62397,99.0,3.351885674875407
99.6928,3.634411,100.0,3.3519046862305863
100.6923,3.644852,101.0,3.3519236975857662
101.693,3.655537,102.0,3.3519427089409457
102.6926,3.666737,103.0,3.3519617202961256
103.6929,3.679348,104.0,3.351980731651305
104.6923,3.690914,105.0,3.351999743006485
105.6929,3.702118,106.0,3.3520187543616644
106.6927,3.713779,107.0,3.3520377657168443
107.6925,3.72541,108.0,3.3520567770720238
108.6926,3.738293,109.0,3.3520757884272037
109.6928,3.750229,110.0,3.3520947997823836
110.6925,3.761707,111.0,3.352113811137563
111.6926,3.773186,112.0,3.352132822492743
112.6925,3.784786,113.0,3.3521518338479224
113.6925,3.79718,114.0,3.3521708452031023
114.6923,3.808323,115.0,3.3521898565582817
115.6928,3.819984,116.0,3.3522088679134616
116.6923,3.829357,117.0,3.352227879268641
117.6924,3.840805,118.0,3.352246890623821
