Solution,RMSE
"[0.83288478 0.28073385 0.63606377 0.7892294  0.44242506 0.66903985
 0.6294     0.9367     0.40460771 0.03260643 0.82498729 0.42871466
 0.32646434 0.4167     0.6508     0.5221     0.91565718 0.44030202
 0.51627561 0.4273226  0.69319543 0.50724767 0.8611     0.47733003
 0.3895     0.1498    ]",0.09358913537510533
"[0.48484779 0.09084474 0.32712852 0.86466743 0.09152778 0.37997006
 0.52354694 0.9367     0.1892     0.0064     0.67646096 0.12296377
 0.38077303 0.4167     0.6508     0.5221     0.24442397 0.44539652
 0.43928528 0.34141767 0.8444     0.8283     0.8611     0.3239
 0.16587139 0.44161742]",0.08989147278235382
"[0.98581547 0.39908534 0.47045012 0.76283056 0.3347     0.60303432
 0.54491622 0.83783458 0.32281542 0.0064     0.96393272 0.2365
 0.2427     0.72167704 0.71913284 0.5221     0.47882108 0.48140935
 0.69470269 0.19258476 0.61422008 0.8283     0.8611     0.40913967
 0.1788102  0.22252466]",0.0869797725295355
"[0.7101     0.0251     0.3674     0.53615948 0.5708845  0.6985
 0.83508077 0.62592357 0.1892     0.0064     0.87399117 0.20274565
 0.43522672 0.78140561 0.82651365 0.38699613 0.6422     0.46385977
 0.89360346 0.16542362 0.8351357  0.8283     0.97720974 0.3239
 0.68216486 0.3401694 ]",0.07817808662050169
"[0.74125279 0.02084197 0.3674     0.41149966 0.19273201 0.72784049
 0.72473275 0.71325617 0.25207158 0.0064     0.62746275 0.50863021
 0.46438398 0.2196743  0.57603315 0.82777098 0.41614726 0.468894
 0.96780974 0.22421441 0.8444     0.91590799 0.63187708 0.41702549
 0.3895     0.46993426]",0.08862693782062149
"[0.75405684 0.14254653 0.52267039 0.44134165 0.00736343 0.61830027
 0.8082989  0.76269789 0.17962771 0.0064     0.74028864 0.43976219
 0.33914023 0.64299666 0.25702392 0.5221     0.68823433 0.46270478
 0.7961     0.31432734 0.75552825 0.64488627 0.93301058 0.3239
 0.6445557  0.11241963]",0.04629887325929657
"[0.38895193 0.35753647 0.01807429 0.3661285  0.3347     0.6985
 0.41857386 0.55374337 0.54364479 0.0385921  0.72673825 0.52896502
 0.09472946 0.4167     0.81271532 0.76204231 0.6422     0.29379713
 0.88244943 0.32109573 0.62901212 0.45928203 0.8611     0.3205663
 0.11708729 0.1498    ]",0.08634660668472074
"[0.48691247 0.0251     0.65894262 0.72923027 0.3347     0.33152978
 0.25833435 0.83393304 0.18253908 0.35174452 0.76594413 0.2365
 0.4116756  0.47797572 0.90409082 0.33529318 0.6422     0.42028587
 0.63021734 0.49290045 0.85040677 0.61684007 0.8611     0.20411592
 0.11359406 0.1498    ]",0.08576704290959317
"[0.36550049 0.26243337 0.3674     0.40332001 0.3347     0.3890716
 0.24067396 0.9367     0.5325176  0.13005822 0.90951758 0.60235726
 0.00838022 0.4167     0.46817106 0.28852886 0.42531543 0.0942
 0.72478061 0.1788     0.58379643 0.98244256 0.62009109 0.1340279
 0.56728141 0.01372573]",0.08492005391497709
"[0.7101     0.12874585 0.3674     0.69500529 0.06579638 0.91228766
 0.75042899 0.86432386 0.20818868 0.0064     0.85876302 0.63004665
 0.53008349 0.4167     0.6508     0.36548071 0.89005813 0.15393739
 0.40514215 0.51201154 0.55625252 0.8283     0.520059   0.00611566
 0.68824008 0.29598263]",0.04520729621620116
"[0.57854748 0.0251     0.49408624 0.57435173 0.40474559 0.81418418
 0.8052172  0.84837198 0.14765687 0.0064     0.95550874 0.30299463
 0.2427     0.54614267 0.66256133 0.6729096  0.6211716  0.00492392
 0.74356237 0.22382631 0.73032838 0.90572538 0.72977475 0.2626575
 0.23816472 0.1498    ]",0.0868311364136618
"[0.86042988 0.20770602 0.36521793 0.5449     0.2637222  0.75893751
 0.6294     0.9367     0.34708767 0.0064     0.91723896 0.23672397
 0.17977875 0.26813228 0.6508     0.69482902 0.78005517 0.0942
 0.79689706 0.13319835 0.79236389 0.98115051 0.87007533 0.25505048
 0.39349916 0.28012214]",0.07970105106174565
"[0.76010298 0.09816311 0.38197171 0.5449     0.47529539 0.74919118
 0.80902065 0.96276932 0.29875115 0.0064     0.9788     0.2365
 0.40937466 0.32178834 0.73147911 0.65753417 0.72096949 0.08623106
 0.84234369 0.1788     0.81221465 0.74084487 0.86514081 0.3239
 0.3895     0.18347142]",0.057601991666177486
