Solution,RMSE
"[0.83288478 0.28073385 0.63606377 0.7892294  0.44242506 0.66903985
 0.26566598 0.87519778 0.40460771 0.0064     0.82498729 0.2365
 0.32646434 0.34499785 0.85082493 0.76538704 0.91565718 0.44030202
 0.7961     0.4273226  0.69319543 0.50724767 0.8611     0.3239
 0.04108566 0.29440285]",0.07803704950176675
"[0.7101     0.0251     0.06992083 0.5449     0.38847407 0.6985
 0.75292224 0.61658298 0.1892     0.0064     0.9788     0.11380983
 0.36831289 0.40475163 0.6508     0.2786384  0.59127212 0.4575499
 0.77000446 0.1788     0.74082301 0.84691988 0.60452054 0.36754575
 0.72043147 0.24252117]",0.06150525116559869
"[0.70665157 0.14995424 0.3674     0.93309828 0.3347     0.48954028
 0.45943209 0.83539122 0.50118778 0.01051203 0.9788     0.15122742
 0.58358903 0.7979789  0.64816816 0.91339648 0.28407856 0.48950668
 0.7961     0.1788     0.89553868 0.69806164 0.53224951 0.3239
 0.3895     0.4819795 ]",0.08953376075593958
"[0.39399648 0.13299294 0.43424515 0.78040148 0.3347     0.82531625
 0.24255613 0.58540572 0.37344755 0.39420421 0.9788     0.24250497
 0.37315328 0.4167     0.56794819 0.55503676 0.72042125 0.36073093
 0.45599001 0.10123264 0.88844131 0.70861126 0.67676483 0.40574299
 0.3895     0.1498    ]",0.09521570731774845
"[0.43154945 0.40934591 0.29002583 0.5449     0.3347     0.51246045
 0.6294     0.92804301 0.38180655 0.33515357 0.61634902 0.60412394
 0.32143711 0.4167     0.70254066 0.89524954 0.97143975 0.0942
 0.79844679 0.57772632 0.6264191  0.8283     0.5910474  0.06181803
 0.32846575 0.33038937]",0.11075537620154717
"[0.48560738 0.0251     0.48694258 0.39564356 0.51061334 0.6985
 0.74977305 0.88494728 0.22105358 0.36237723 0.59153204 0.00364107
 0.43764885 0.12467971 0.85505786 0.64242089 0.59982279 0.33237319
 0.90984627 0.54924801 0.474759   0.7242617  0.8611     0.51123648
 0.74850893 0.03613346]",0.11324291032741741
"[0.7101     0.07515032 0.3674     0.2884707  0.26542613 0.4797262
 0.52725569 0.85675447 0.08359851 0.31084084 0.9788     0.58389414
 0.2427     0.4167     0.4073159  0.5221     0.84904296 0.44949711
 0.7961     0.04219415 0.83742221 0.54819877 0.72791083 0.70122415
 0.3895     0.24487587]",0.10428414693012934
"[0.72601396 0.27484207 0.72748629 0.15275246 0.3347     0.39707959
 0.8684746  0.75874622 0.58442743 0.0064     0.85963526 0.52691494
 0.49004694 0.38962297 0.6508     0.84093163 0.6422     0.41702075
 0.57615637 0.3394219  0.8444     0.63791894 0.8611     0.59485101
 0.3895     0.45559046]",0.08334430701145998
"[0.56283392 0.3758048  0.40899035 0.23256466 0.57175661 0.47829259
 0.46310254 0.91382065 0.52415919 0.04740097 0.95031619 0.4792759
 0.37409156 0.46220095 0.92764184 0.19190062 0.75197521 0.0579153
 0.7961     0.42939179 0.96889187 0.65094319 0.81206891 0.56098628
 0.72170463 0.26075369]",0.09401219145572212
"[0.79998199 0.16185963 0.47472719 0.5449     0.3347     0.40350166
 0.71668328 0.95587097 0.02042148 0.0064     0.84117904 0.30067086
 0.2427     0.46762206 0.60889586 0.19637166 0.83794694 0.21229875
 0.54412931 0.1788     0.86418244 0.73622176 0.75836118 0.3239
 0.77291742 0.1498    ]",0.09520018068050387
"[0.35632448 0.09135683 0.63336201 0.16205501 0.31936957 0.73242846
 0.57704172 0.84390111 0.27438893 0.07556377 0.7863293  0.58982687
 0.2427     0.29118201 0.41948954 0.28020418 0.6422     0.0942
 0.52198806 0.1788     0.79158768 0.8283     0.8611     0.31179264
 0.64653641 0.0184427 ]",0.0964249613499072
"[0.7101     0.2547726  0.3674     0.37720619 0.59174259 0.65980686
 0.61775338 0.79493085 0.31217761 0.16794717 0.76430011 0.2365
 0.52609522 0.03475175 0.3887325  0.23295695 0.59198409 0.35331855
 0.68002893 0.45358782 0.842232   0.43857178 0.8611     0.19929023
 0.00278011 0.13121163]",0.10845616802679343
"[0.89994465 0.0251     0.37404093 0.42074462 0.41630271 0.96434919
 0.73272329 0.83300778 0.55787953 0.18335298 0.9788     0.49618446
 0.29005125 0.4167     0.6508     0.31146375 0.6422     0.18186803
 0.7961     0.37519132 0.87983358 0.8283     0.72966547 0.28669052
 0.23455954 0.1498    ]",0.11302406939459785
"[0.6218424  0.3811659  0.13130023 0.39438177 0.3347     0.65569312
 0.6294     0.72295006 0.16785587 0.39190018 0.96197595 0.2365
 0.46022209 0.48649585 0.37151891 0.30289282 0.93160262 0.43515374
 0.7961     0.02093085 0.8444     0.88359286 0.70496625 0.59539454
 0.25938226 0.43218289]",0.11279496509190237
"[0.7101     0.16234995 0.38265618 0.68254291 0.21901731 0.49378036
 0.69780546 0.73438095 0.44981998 0.05334243 0.65762922 0.07329391
 0.10060877 0.75776946 0.86320656 0.26722273 0.82948974 0.45880796
 0.67178393 0.37737257 0.93896264 0.92230633 0.80057542 0.40075023
 0.3895     0.10776489]",0.09813924038880995
"[0.7101     0.33879646 0.03175718 0.5449     0.53610755 0.77551294
 0.25317914 0.9367     0.1892     0.2090634  0.79029815 0.26490567
 0.2427     0.7617593  0.41755976 0.5221     0.82088403 0.0942
 0.39734281 0.52931184 0.84372455 0.75976955 0.61430283 0.3239
 0.3895     0.01194071]",0.10799848835906097
"[0.7101     0.0251     0.30701348 0.25703293 0.25828662 0.76909022
 0.57341788 0.6632845  0.46162128 0.01252374 0.9788     0.2365
 0.17189818 0.4167     0.6508     0.64086121 0.6422     0.31648261
 0.66522208 0.13420529 0.50205775 0.5719486  0.49262191 0.25858929
 0.6246433  0.22477586]",0.06863878855682501
"[4.15962491e-01 4.18032997e-01 7.43903738e-01 5.44900000e-01
 4.70406847e-01 5.86785547e-01 6.29400000e-01 7.03089483e-01
 4.38727099e-01 3.48669458e-02 7.57690390e-01 2.01913699e-01
 1.15540166e-01 4.99431867e-01 6.50800000e-01 5.93754987e-01
 2.95539256e-01 3.59955776e-01 9.69907507e-01 9.75875130e-02
 8.08859436e-01 8.28300000e-01 7.37009490e-01 3.23900000e-01
 7.98946996e-04 1.49800000e-01]",0.08690491941117817
"[0.84133043 0.19538901 0.35656052 0.76146389 0.3139787  0.41318299
 0.29229257 0.97060144 0.18068173 0.096025   0.75057837 0.18604915
 0.51607912 0.06819856 0.27203949 0.89390395 0.6422     0.46714021
 0.99418493 0.1788     0.65952453 0.4470689  0.50785008 0.10167856
 0.37657044 0.1498    ]",0.08849368621834927
"[0.92512615 0.0251     0.09653775 0.15771792 0.3347     0.75252718
 0.76873212 0.9367     0.15077601 0.0064     0.93748571 0.40934219
 0.2427     0.10057727 0.36026346 0.5221     0.41687254 0.0942
 0.7961     0.1788     0.53988011 0.46083822 0.8611     0.07981473
 0.3895     0.26673585]",0.09465352550010524
"[0.6818358  0.26733583 0.3674     0.5449     0.56562584 0.6985
 0.35651717 0.80839093 0.5018431  0.02261104 0.98606721 0.25653784
 0.08045689 0.64521849 0.88773438 0.77908061 0.85079382 0.0942
 0.77607088 0.1788     0.4732675  0.47397467 0.6655871  0.39540866
 0.3895     0.08647824]",0.07483333613760741
"[0.7101     0.33097165 0.3674     0.5449     0.06292011 0.6985
 0.6294     0.85509211 0.45298586 0.01720507 0.8794072  0.35315481
 0.15245389 0.4167     0.6508     0.38325956 0.67348676 0.0942
 0.86599827 0.26602029 0.71493876 0.57687245 0.98850472 0.3239
 0.40507643 0.50024025]",0.10269469554559238
"[0.80607258 0.27359775 0.00470592 0.32212149 0.3347     0.70639624
 0.26366369 0.82452892 0.38316253 0.0064     0.77236244 0.30474269
 0.39763678 0.48612883 0.48741898 0.41383625 0.30802853 0.0942
 0.93142416 0.1788     0.76809706 0.71760036 0.5242418  0.63805784
 0.75525783 0.1498    ]",0.06195228701988163
"[0.79741031 0.0251     0.52007127 0.60040652 0.35441451 0.6985
 0.91429373 0.9367     0.1892     0.05443801 0.63874125 0.3451508
 0.51952277 0.15662168 0.78997542 0.32752724 0.34536669 0.0942
 0.7961     0.1788     0.95060184 0.50667172 0.69070503 0.00670496
 0.66255482 0.1498    ]",0.10212474071558068
"[0.46405708 0.09876331 0.3674     0.19736381 0.3347     0.33781823
 0.53900368 0.91274536 0.1892     0.28545716 0.93973631 0.57566562
 0.35085046 0.4167     0.98614277 0.84807442 0.96888873 0.46023093
 0.85449016 0.35316737 0.76325247 0.62932674 0.8611     0.57502105
 0.63066332 0.1498    ]",0.09813024030125612
"[0.38015838 0.39393414 0.09902743 0.46971112 0.70430084 0.48584109
 0.26700204 0.85210526 0.2364728  0.0064     0.9788     0.2365
 0.18082199 0.68889214 0.58300269 0.6139808  0.35281007 0.11696846
 0.95647271 0.15378087 0.79730872 0.50116571 0.8611     0.54980449
 0.34515823 0.28160277]",0.038932247076284995
"[0.7101     0.18220102 0.06127881 0.5449     0.73096397 0.88833992
 0.65755408 0.9367     0.30290302 0.30132962 0.80680565 0.059135
 0.2427     0.4167     0.30830086 0.5221     0.81530858 0.43449822
 0.7961     0.18636596 0.9629916  0.98345952 0.8611     0.11490126
 0.73491292 0.1404027 ]",0.11261073873057825
"[0.73330006 0.0251     0.29758184 0.5449     0.51998616 0.6985
 0.80352734 0.9367     0.09819263 0.03866007 0.79369986 0.2365
 0.35101118 0.58318808 0.62048085 0.36522409 0.6422     0.0942
 0.84372588 0.32739073 0.68311582 0.8283     0.99490257 0.3239
 0.5697937  0.07275476]",0.11273238156469996
"[0.7101     0.0251     0.51997893 0.60317684 0.16433861 0.51259795
 0.73646544 0.89594335 0.1892     0.01331577 0.9788     0.20701536
 0.16777468 0.54527032 0.7685361  0.63896013 0.44512997 0.08691698
 0.78324343 0.10492654 0.67180832 0.8283     0.8611     0.3239
 0.39117103 0.1498    ]",0.08871682151485333
"[0.61765965 0.16380594 0.24795961 0.5449     0.39542123 0.54638431
 0.6294     0.77856759 0.23662457 0.0064     0.83533449 0.07079665
 0.42979848 0.5783498  0.7607503  0.64060808 0.6422     0.0638073
 0.81347852 0.17449344 0.71675317 0.63592585 0.91694249 0.44562158
 0.3895     0.17022349]",0.03454646053177397
"[0.7101     0.00722071 0.31191993 0.67706467 0.30041405 0.52168454
 0.47984416 0.9367     0.15035311 0.0064     0.80947332 0.2365
 0.13485222 0.51821725 0.69489955 0.61040953 0.48231308 0.20981139
 0.79545135 0.20684149 0.8444     0.71064627 0.84834759 0.28196829
 0.54401283 0.07888504]",0.11294136104751266
"[0.85018954 0.0251     0.50685158 0.59981595 0.22152414 0.81368335
 0.77914334 0.74921826 0.25379984 0.0064     0.88930588 0.23744171
 0.37534537 0.33881536 0.58475797 0.5221     0.47303538 0.27882527
 0.84820843 0.1788     0.81300776 0.96669587 0.97339238 0.28848752
 0.3895     0.11300548]",0.04224067870834809
"[0.60691448 0.09812672 0.56437835 0.47231368 0.42681707 0.57642242
 0.599821   0.88713394 0.18889352 0.0064     0.86370452 0.39983694
 0.10256113 0.56857285 0.60527626 0.5221     0.5508364  0.12727819
 0.63627716 0.06815056 0.9870729  0.78839153 0.8611     0.51435744
 0.3895     0.1498    ]",0.04634550075209067
"[0.71139018 0.07249961 0.24795961 0.59088583 0.47881256 0.56753962
 0.6294     0.81910364 0.2671331  0.0064     0.77444839 0.16154361
 0.34591215 0.66334434 0.7607503  0.72297012 0.66034506 0.0977375
 0.72349723 0.17967536 0.78665328 0.60938224 0.84821627 0.498938
 0.38547164 0.20830367]",0.05725674273620615
"[0.67075207 0.11440065 0.17566264 0.47283303 0.37118655 0.49375476
 0.6294     0.77856759 0.16226853 0.020866   0.92824629 0.16752486
 0.51974656 0.57065217 0.7607503  0.64060808 0.71069035 0.14523147
 0.73689506 0.15572025 0.71675317 0.59391468 0.82647373 0.51389194
 0.40554552 0.17022349]",0.10305739464900607
"[0.6071528  0.16380594 0.24795961 0.5449     0.49106928 0.54066281
 0.65762807 0.84397914 0.33086953 0.04280826 0.83533449 0.04287718
 0.38229941 0.59157888 0.7607503  0.64520067 0.6946684  0.16022632
 0.78370036 0.12174557 0.71198391 0.63465173 0.91331815 0.46524712
 0.3895     0.10111941]",0.09831913510311359
"[0.69647114 0.20821158 0.19177174 0.55633675 0.3374523  0.5660435
 0.6294     0.77856759 0.27387839 0.0064     0.83533449 0.09550466
 0.52527414 0.65620894 0.68279841 0.59053929 0.62404125 0.03584656
 0.7848809  0.25593289 0.62836974 0.63592585 0.85337112 0.42165476
 0.37617126 0.13269467]",0.04766542417563586
"[0.70512239 0.21400316 0.16518524 0.6429916  0.39542123 0.54638431
 0.6294     0.77856759 0.29128192 0.02376244 0.76787508 0.14222589
 0.40511942 0.52345848 0.6946492  0.61764328 0.58237535 0.04062684
 0.80382411 0.16322004 0.65782574 0.65003399 0.94021332 0.39380957
 0.30604781 0.07777904]",0.08459299092514765
"[0.61765965 0.23632549 0.29264085 0.48146004 0.43512919 0.51118262
 0.6294     0.79114916 0.28599855 0.0306864  0.83533449 0.16018987
 0.3738031  0.59338536 0.68409087 0.7078825  0.68388134 0.05001397
 0.81347852 0.20038073 0.61957317 0.6639084  0.91694249 0.37177626
 0.33730216 0.18072837]",0.10302832134886596
"[0.61765965 0.08181953 0.31048646 0.47196991 0.47362233 0.4520757
 0.6294     0.75237771 0.15412431 0.0064     0.80002642 0.07079665
 0.47673443 0.52456272 0.72756596 0.61902256 0.5657715  0.0638073
 0.7521258  0.21795444 0.77690255 0.58206247 0.91439887 0.44562158
 0.3612722  0.21968112]",0.05745641346987841
"[0.54634504 0.22734182 0.2980667  0.50307398 0.48855368 0.46260648
 0.72680697 0.79844117 0.2240321  0.03828379 0.83533449 0.03620114
 0.41014375 0.57412153 0.70450139 0.65168533 0.61573641 0.15744197
 0.73198453 0.19030571 0.78326957 0.54760274 0.94368556 0.50375861
 0.36363437 0.17022349]",0.10781237691939645
"[0.68382938 0.16380594 0.22204381 0.637176   0.32869474 0.50235791
 0.71179983 0.86161165 0.31667913 0.04076928 0.80258276 0.11300343
 0.40442651 0.61674295 0.7607503  0.54395604 0.66642491 0.02189245
 0.76328724 0.17449344 0.62305001 0.56769699 0.91694249 0.44562158
 0.3895     0.25080107]",0.11109420095249689
"[0.66254946 0.13347152 0.21295933 0.5449     0.29867833 0.46204146
 0.61722278 0.77856759 0.23662457 0.02414735 0.83190091 0.07134213
 0.38616339 0.5555583  0.80657216 0.64993327 0.6422     0.04514553
 0.81895004 0.26295498 0.6532649  0.5752108  0.91694249 0.45987733
 0.38857166 0.17022349]",0.10224155997554014
"[0.61018692 0.16380594 0.22169175 0.5449     0.30568139 0.61380378
 0.67688914 0.77856759 0.15688582 0.0064     0.918861   0.11141218
 0.33969379 0.66085119 0.75040197 0.68963411 0.68244671 0.15327026
 0.81347852 0.17786097 0.69827443 0.6026372  0.91694249 0.35980101
 0.40526344 0.263305  ]",0.08199613313840837
"[0.55674472 0.22292242 0.23767332 0.47753505 0.31053068 0.57893388
 0.69764588 0.68692129 0.32972555 0.04132194 0.87208067 0.05618903
 0.52006346 0.53016835 0.78555875 0.64060808 0.6285502  0.07956409
 0.91196062 0.17449344 0.71675317 0.54858314 0.85295022 0.44562158
 0.32433509 0.15762982]",0.1039573928718729
"[0.68040445 0.11829679 0.24795961 0.5449     0.39542123 0.62862386
 0.6294     0.82739781 0.14225585 0.03112245 0.86957931 0.05327413
 0.34239579 0.63484471 0.77023872 0.59014784 0.72945231 0.03573723
 0.9015408  0.10069052 0.71675317 0.63592585 0.91694249 0.45727685
 0.35731767 0.11362144]",0.11327059748801373
"[0.52490702 0.17860545 0.24795961 0.5449     0.3601678  0.54638431
 0.66965798 0.69721874 0.30275325 0.02340572 0.83533449 0.02699269
 0.48948228 0.63678021 0.85040164 0.64060808 0.69447536 0.06213943
 0.81347852 0.25552638 0.79321067 0.63592585 0.91085671 0.36309353
 0.30844013 0.17022349]",0.08171261872869237
"[0.54337338 0.16380594 0.16934612 0.57914474 0.39542123 0.54638431
 0.5801974  0.81131702 0.23662457 0.0321018  0.83533449 0.01684125
 0.42979848 0.61815873 0.83810658 0.60913094 0.72457609 0.096282
 0.79023539 0.07831887 0.70617695 0.7274478  0.94872077 0.49383704
 0.48934421 0.17022349]",0.10330533988480088
"[0.61765965 0.17167928 0.16504597 0.55094589 0.39542123 0.55568683
 0.70809457 0.7446786  0.23662457 0.0064     0.83533449 0.07079665
 0.41172671 0.51101319 0.85217556 0.69918937 0.64355751 0.04182199
 0.76786299 0.16158816 0.71637773 0.53691103 0.91694249 0.49758028
 0.31380452 0.21380845]",0.0510692343529433
"[0.61765965 0.16380594 0.18901111 0.45602746 0.39542123 0.57734893
 0.6294     0.86190364 0.23523419 0.02108021 0.83533449 0.03273778
 0.42979848 0.54236896 0.83946985 0.66942723 0.6422     0.11659895
 0.83049738 0.18398544 0.80127162 0.63592585 0.91694249 0.42798194
 0.48397829 0.16669162]",0.09027979489408758
"[0.63669305 0.12021716 0.2551151  0.51765546 0.39481603 0.56108117
 0.60950153 0.76697891 0.23295366 0.02549708 0.87730433 0.05051746
 0.42979848 0.56529161 0.7607503  0.63529558 0.62574152 0.02260143
 0.83945424 0.21305893 0.69000963 0.66393508 0.91122803 0.47532117
 0.43199444 0.17186265]",0.10078422571981867
"[0.59509777 0.11531605 0.24795961 0.49523976 0.35263808 0.49980304
 0.62733659 0.76222054 0.21796025 0.0064     0.83533449 0.07107758
 0.44585238 0.60143067 0.7266126  0.64270866 0.6422     0.10979663
 0.85810641 0.22051055 0.71675317 0.65879523 0.87447622 0.4419707
 0.42518689 0.15770188]",0.06932022003875254
"[0.5750214  0.12549104 0.28985926 0.53200409 0.36869619 0.58532021
 0.6294     0.77046162 0.25158022 0.02257108 0.79843286 0.07482099
 0.42979848 0.59992353 0.71895599 0.64060808 0.66667442 0.08203182
 0.84544239 0.20873056 0.75940652 0.63592585 0.95581039 0.41089244
 0.39536339 0.17924999]",0.08845943038326186
"[0.65686402 0.11941804 0.22362649 0.5449     0.39542123 0.52722263
 0.63341249 0.76579349 0.23698358 0.0064     0.82875619 0.04848322
 0.47652387 0.56067235 0.71601748 0.67705991 0.66065394 0.04412862
 0.85159489 0.1998141  0.73870318 0.63592585 0.91756475 0.4572295
 0.3895     0.15024127]",0.04314335389022504
"[0.66454828 0.18219462 0.20500839 0.5709041  0.37164009 0.54638431
 0.66005538 0.74539013 0.20385064 0.0064     0.88508305 0.05148625
 0.455344   0.55946894 0.73146561 0.64656479 0.66572297 0.06777657
 0.8554384  0.1898149  0.76149369 0.59860867 0.87289834 0.40342604
 0.38569368 0.13518373]",0.03287645485159337
"[0.61765965 0.13724313 0.2159866  0.54083945 0.38680842 0.54638431
 0.65567584 0.73359738 0.21350096 0.0064     0.82581041 0.07079665
 0.42979848 0.62734276 0.76119363 0.6150148  0.59755696 0.04349123
 0.81347852 0.13173839 0.6910203  0.60353274 0.87690044 0.42979492
 0.38888256 0.17632003]",0.03407765932427864
"[0.69011835 0.19147241 0.18386161 0.5709041  0.36242723 0.57197918
 0.66005538 0.74539013 0.17031575 0.02413577 0.90050162 0.05619845
 0.455344   0.54782123 0.7375631  0.64656479 0.70485073 0.06777657
 0.86661026 0.20227028 0.78089593 0.64110697 0.82699053 0.40342604
 0.36070224 0.1697089 ]",0.11077197175629298
"[0.64978841 0.15885806 0.24828783 0.57577404 0.3383834  0.52117225
 0.61816858 0.77726918 0.21285531 0.0064     0.9117696  0.05148625
 0.47947341 0.5424247  0.73146561 0.64656479 0.61696033 0.06905408
 0.81328754 0.22734388 0.76149369 0.60293914 0.87289834 0.42877037
 0.35165793 0.11949691]",0.061052117956344486
"[0.66747548 0.22951352 0.25020466 0.59082044 0.3407699  0.5896351
 0.66005538 0.72364948 0.2079829  0.03545751 0.85578042 0.08113008
 0.41923387 0.55946894 0.76223192 0.63518298 0.67558204 0.08885372
 0.81921438 0.1898149  0.76149369 0.63366934 0.86689595 0.37199718
 0.38569368 0.10498816]",0.11208060185362585
"[0.66454828 0.21433202 0.1560151  0.5350628  0.37164009 0.54677652
 0.67600971 0.74582999 0.2202719  0.02363424 0.84855852 0.07875407
 0.43368502 0.54331587 0.72370612 0.68397484 0.69724999 0.10220347
 0.84487833 0.19971302 0.76580158 0.58933538 0.83225362 0.39541371
 0.38569368 0.09431278]",0.09256841742575005
"[0.63765713 0.21450138 0.18616771 0.61979285 0.37164009 0.5673861
 0.64958629 0.7105961  0.22602405 0.0064     0.90698731 0.07062241
 0.50335975 0.53343611 0.73107536 0.61482884 0.69124523 0.06777657
 0.89815335 0.16747115 0.77114318 0.56868868 0.83247279 0.42411536
 0.38569368 0.10748955]",0.10706209127172768
"[0.62034009 0.16753167 0.17890975 0.60306611 0.37164009 0.54638431
 0.69269683 0.78778077 0.20385064 0.00711473 0.88508305 0.0553045
 0.41962649 0.54401662 0.71534121 0.64656479 0.71329811 0.10228769
 0.82729589 0.1898149  0.76149369 0.5841717  0.89055871 0.41019043
 0.38433749 0.1473865 ]",0.032429507653670336
"[0.65907073 0.18219462 0.20500839 0.5741816  0.35794698 0.52291007
 0.69628795 0.74389474 0.20385064 0.01896239 0.88288087 0.00434066
 0.49455206 0.55756674 0.73146561 0.65510068 0.66572297 0.05168446
 0.8554384  0.2029207  0.78967577 0.61306003 0.83020722 0.40342604
 0.42966972 0.17637167]",0.09666388429065761
"[0.66454828 0.15182805 0.20322824 0.61687323 0.3909354  0.54638431
 0.617449   0.70032173 0.20385064 0.0250268  0.85355536 0.09403961
 0.43943796 0.53908777 0.69932962 0.64656479 0.66572297 0.02489047
 0.84145318 0.1898149  0.75556028 0.55711945 0.91957487 0.40342604
 0.40170828 0.13973519]",0.10229073592350509
"[0.59272077 0.15109557 0.17890975 0.59708616 0.35977411 0.58587927
 0.68008159 0.75865188 0.25022132 0.00711473 0.88508305 0.00756853
 0.41962649 0.54401662 0.71534121 0.64656479 0.70129028 0.13135226
 0.79997922 0.22889925 0.71194091 0.56043687 0.88306999 0.41019043
 0.38433749 0.1473865 ]",0.10645932514403761
"[0.60023242 0.15453424 0.16494173 0.60306611 0.37164009 0.54721353
 0.66738183 0.78778077 0.1600147  0.00711473 0.86957037 0.09330752
 0.41962649 0.53643681 0.74537658 0.63907516 0.68343623 0.05585155
 0.8763782  0.1898149  0.79058925 0.59270404 0.92751115 0.41019043
 0.36975743 0.1623976 ]",0.03933450655481581
"[0.60373167 0.15150773 0.13972405 0.56516558 0.40959896 0.54046665
 0.647308   0.75545425 0.17391458 0.01476221 0.88473181 0.10150708
 0.41962649 0.52142577 0.71826725 0.61899444 0.75698617 0.14146097
 0.80594413 0.1898149  0.76149369 0.54884114 0.91950442 0.45228103
 0.42893119 0.1473865 ]",0.07956058203115557
"[0.63950727 0.13846743 0.21360764 0.6180909  0.42021218 0.50647714
 0.70916803 0.81047294 0.18011557 0.03449652 0.85007969 0.05215002
 0.41536183 0.52645339 0.75431058 0.67416305 0.71084885 0.14501208
 0.86680987 0.23566832 0.77602059 0.60825032 0.89055871 0.43634929
 0.34327336 0.12080421]",0.1100969512430289
"[0.62034009 0.18264097 0.15678457 0.60306611 0.37164009 0.5118457
 0.65512829 0.75474775 0.20413748 0.00711473 0.90678638 0.06368596
 0.38273643 0.59131465 0.72534821 0.63110866 0.71329811 0.13505564
 0.85043216 0.23531731 0.76149369 0.54381004 0.92854221 0.41745842
 0.3971632  0.11084159]",0.06358689651663256
