Parameter,Sobol_First_Order,Sobol_Rank,PAWN_Median,PAWN_Rank
Initial_concentration_in_negative_electrode,0.7088868596297643,1,0.4186046511627907,20
Negative_particle_radius,0.027516605740884173,2,0.6511627906976745,2
Positive_electrode_active_material_volume_fraction,0.02438128164007963,3,0.37209302325581395,33
Positive_particle_radius,0.008428293372244251,4,0.3953488372093023,21
Positive_electrode_thickness,0.00805790753491921,5,0.37209302325581395,29
electrode_height,0.007842798731830976,6,0.37209302325581395,22
Negative_electrode_thickness,0.00516937864411496,7,0.37209302325581395,39
Negative_electrode_active_material_volume_fraction,0.005127398817816953,8,0.37209302325581395,32
Maximum_concentration_in_negative_electrode,0.000747117552245944,9,0.6395348837209303,6
Positive_electrode_thermal_conductivity,0.0,17,0.6395348837209303,9
Positive_electrode_conductivity,0.0,26,0.37209302325581395,40
Positive_electrode_density,0.0,12,0.37209302325581395,26
Positive_electrode_porosity,0.0,31,0.6395348837209303,12
Positive_electrode_specific_heat_capacity,0.0,11,0.37209302325581395,30
Cation_transference_number,0.0,14,0.6395348837209303,17
Separator_density,0.0,29,0.6395348837209303,3
Separator_porosity,0.0,35,0.37209302325581395,36
Separator_specific_heat_capacity,0.0,32,0.37209302325581395,38
Separator_thermal_conductivity,0.0,30,0.6395348837209303,4
Total_heat_transfer_coefficient,0.0,28,0.6395348837209303,15
max_voltage,0.0,25,0.37209302325581395,42
Separator_Bruggeman_coefficient,0.0,10,0.6395348837209303,5
Positive_current_collector_thickness,0.0,37,0.37209302325581395,34
Positive_electrode_Bruggeman_coefficient,0.0,34,0.6395348837209303,8
Negative_electrode_density,0.0,24,0.37209302325581395,31
Negative_current_collector_conductivity,0.0,21,0.6395348837209303,16
Negative_current_collector_density,0.0,19,0.37209302325581395,25
Negative_current_collector_thermal_conductivity,0.0,16,0.6395348837209303,14
Negative_current_collector_thickness,0.0,36,0.37209302325581395,35
Negative_electrode_Bruggeman_coefficient,0.0,33,0.37209302325581395,37
Positive_current_collector_thermal_conductivity,0.0,15,0.6395348837209303,11
Negative_electrode_conductivity,0.0,38,0.6395348837209303,19
Negative_electrode_porosity,0.0,22,0.37209302325581395,27
Negative_electrode_specific_heat_capacity,0.0,27,0.6395348837209303,7
Negative_electrode_thermal_conductivity,0.0,13,0.37209302325581395,28
Positive_current_collector_conductivity,0.0,20,0.37209302325581395,23
Positive_current_collector_density,0.0,18,0.37209302325581395,24
min_voltage,0.0,23,0.6395348837209303,18
Positive_electrode_diffusivity,-0.00030083550736432444,39,0.37209302325581395,41
Maximum_concentration_in_positive_electrode,-0.0036261827235676914,40,0.6395348837209303,10
electrode_width,-0.012559240745473635,41,0.6395348837209303,13
Initial_concentration_in_positive_electrode,-0.06411835016440844,42,0.6627906976744186,1
