Rank,Parameter,First_Order,Total_Order,Confidence_S1,Confidence_ST
1,Initial_concentration_in_negative_electrode,0.7088868596297643,1.288117223828119,9.72145496312191,0.7398188480767998
2,Negative_particle_radius,0.027516605740884173,0.0013855729774844426,6.666483648971003,0.33568455665779723
3,Positive_electrode_active_material_volume_fraction,0.02438128164007963,0.0010878092432008402,5.906884625419101,0.26354495177517845
4,Positive_particle_radius,0.008428293372244251,0.00012999270184959165,2.041933532205762,0.031493499944227475
5,Positive_electrode_thickness,0.00805790753491921,0.00011881854811303087,1.952199676526421,0.02878632327144512
6,electrode_height,0.007842798731830976,0.00011255941365749399,1.9000849886887867,0.02726991467448832
7,Negative_electrode_thickness,0.00516937864411496,4.890084580367106e-05,1.2523920475819896,0.011847271136594416
8,Negative_electrode_active_material_volume_fraction,0.005127398817816953,4.810983640059556e-05,1.2422215407891954,0.011655632265817919
9,Maximum_concentration_in_negative_electrode,0.000747117552245944,1.0214510549406104e-06,0.18100513532839477,0.00024746826771109427
10,Separator_Bruggeman_coefficient,0.0,0.0,0.0,0.0
11,Positive_electrode_specific_heat_capacity,0.0,0.0,0.0,0.0
12,Positive_electrode_density,0.0,0.0,0.0,0.0
13,Negative_electrode_thermal_conductivity,0.0,0.0,0.0,0.0
14,Cation_transference_number,0.0,0.0,0.0,0.0
15,Positive_current_collector_thermal_conductivity,0.0,0.0,0.0,0.0
16,Negative_current_collector_thermal_conductivity,0.0,0.0,0.0,0.0
17,Positive_electrode_thermal_conductivity,0.0,0.0,0.0,0.0
18,Positive_current_collector_density,0.0,0.0,0.0,0.0
19,Negative_current_collector_density,0.0,0.0,0.0,0.0
20,Positive_current_collector_conductivity,0.0,0.0,0.0,0.0
21,Negative_current_collector_conductivity,0.0,0.0,0.0,0.0
22,Negative_electrode_porosity,0.0,0.0,0.0,0.0
23,min_voltage,0.0,0.0,0.0,0.0
24,Negative_electrode_density,0.0,0.0,0.0,0.0
25,max_voltage,0.0,0.0,0.0,0.0
26,Positive_electrode_conductivity,0.0,0.0,0.0,0.0
27,Negative_electrode_specific_heat_capacity,0.0,0.0,0.0,0.0
28,Total_heat_transfer_coefficient,0.0,0.0,0.0,0.0
29,Separator_density,0.0,0.0,0.0,0.0
30,Separator_thermal_conductivity,0.0,0.0,0.0,0.0
31,Positive_electrode_porosity,0.0,0.0,0.0,0.0
32,Separator_specific_heat_capacity,0.0,0.0,0.0,0.0
33,Negative_electrode_Bruggeman_coefficient,0.0,0.0,0.0,0.0
34,Positive_electrode_Bruggeman_coefficient,0.0,0.0,0.0,0.0
35,Separator_porosity,0.0,0.0,0.0,0.0
36,Negative_current_collector_thickness,0.0,0.0,0.0,0.0
37,Positive_current_collector_thickness,0.0,0.0,0.0,0.0
38,Negative_electrode_conductivity,0.0,0.0,0.0,0.0
39,Positive_electrode_diffusivity,-0.00030083550736432444,1.6561431435400767e-07,0.07288380731837028,4.012359406073531e-05
40,Maximum_concentration_in_positive_electrode,-0.0036261827235676914,2.4062406045606512e-05,0.8785199767181887,0.005829630222872915
41,electrode_width,-0.012559240745473635,0.00028864660452399135,3.042743493206006,0.06993078606825132
42,Initial_concentration_in_positive_electrode,-0.06411835016440844,0.007523230361574598,15.534035592730453,1.8226627464579033
