Parameter,S1,S1_conf,ST,ST_conf
N_parallel,0.1874083960475134,0.2076098511692981,0.9253858731344545,0.37516025486274235
electrode_height,0.0667799048835698,0.11595353124727026,0.21465190903897682,0.10476073222569529
electrode_width,0.02758682477243178,0.10545013265264996,0.1761971172404073,0.09042043434177265
Negative_electrode_thickness,0.04233656917211061,0.14852423819517102,0.3472325783101401,0.12793094256727736
Positive_electrode_thickness,0.011864978095610846,0.06536417061761816,0.06105337888793866,0.06240680990540163
Negative_particle_radius,-0.04446585772799072,0.08773974433175649,0.1257782943535239,0.22474655388320772
Positive_particle_radius,0.0003535232645615507,0.001139200930583567,2.1184467044173137e-05,7.1075598760911e-06
Negative_electrode_active_material_volume_fraction,-0.08200063438714605,0.10952779274827665,0.22598347424793142,0.14526280593571345
Positive_electrode_active_material_volume_fraction,-0.03499344429591218,0.08366959875037397,0.07749195220655215,0.06498823559402196
Negative_electrode_porosity,0.0,0.0,0.0,0.0
Positive_electrode_porosity,-0.04828369571010518,0.08817063917941402,0.12315457301298177,0.22494328950197726
Separator_porosity,3.030158001118871e-05,7.57665338344558e-05,1.1374152551409275e-07,4.1447194632223165e-08
Maximum_concentration_in_negative_electrode,0.0,0.0,0.0,0.0
Maximum_concentration_in_positive_electrode,-0.0478728910793352,0.08814313069795311,0.12333060474834023,0.2249379126166545
Negative_electrode_diffusivity,0.0,0.0,0.0,0.0
Positive_electrode_diffusivity,2.2619979150422134e-05,2.895720260046991e-05,2.9080925854481854e-08,4.0961223974373194e-08
Negative_electrode_Bruggeman_coefficient,-0.04825492982156323,0.08817162252246644,0.12315470926467306,0.2249432628568543
Positive_electrode_Bruggeman_coefficient,4.083033193410276e-05,0.00022871208788301106,1.070019049770611e-06,3.710609470495587e-07
Negative_electrode_conductivity,0.03127809987349879,0.05670083872831147,0.057584057806050276,0.10439840264774092
Positive_electrode_conductivity,-2.4754161557761707e-05,3.428652590591549e-05,2.1518667971454707e-08,3.9185731345692815e-08
Initial_concentration_in_negative_electrode,0.06197240671992581,0.07771908431789049,0.1192525006736262,0.18473413905414332
Initial_concentration_in_positive_electrode,0.002494721536947487,0.07305861630690294,0.08895803416797798,0.07880727459991385
