Parameter,S1,S1_conf,ST,ST_conf
N_parallel,0.03570569318643202,0.225565264599097,0.6422276857272841,0.30349812264454956
electrode_height,0.020138484439953853,0.1334120657885038,0.6939879676596341,0.4003164796595436
electrode_width,0.05490350424403507,0.11033810013631715,0.492513307881915,0.39843767225324167
Negative_electrode_thickness,-0.1029958254172293,0.1801960320095472,0.7004962225289788,0.3817778038523083
Positive_electrode_thickness,-0.020293484602064975,0.1026936953535637,0.3779843772699542,0.4132781146194682
Negative_particle_radius,0.00414723319587877,0.10056877000661825,0.21386756123797573,0.2223689658149772
Positive_particle_radius,-0.0026012474111589226,0.009660857118840266,0.0020551567794552267,0.0024452006455411837
Negative_electrode_active_material_volume_fraction,0.17047349528313038,0.18573954574535267,0.9140020294958208,0.5741803260933763
Positive_electrode_active_material_volume_fraction,-0.04780341481558677,0.1477963221569702,0.5796508581661178,0.5228452957313431
Negative_electrode_porosity,0.0,0.0,0.0,0.0
Positive_electrode_porosity,-0.01416287850305788,0.0649137668687325,0.1255432922054739,0.1922016914546467
Separator_porosity,0.008365216720993244,0.0837438601267829,0.2312269831286603,0.26692429573014215
Maximum_concentration_in_negative_electrode,0.0,0.0,0.0,0.0
Maximum_concentration_in_positive_electrode,-0.0474934498619255,0.1282375662546585,0.27697631309835213,0.39573814307205996
Negative_electrode_diffusivity,0.0,0.0,0.0,0.0
Positive_electrode_diffusivity,0.015465235286628744,0.03417057669512497,0.049087672844330285,0.1072731041115602
Negative_electrode_Bruggeman_coefficient,-0.026854713750009737,0.12297510334341957,0.3528954407480593,0.34945970473886667
Positive_electrode_Bruggeman_coefficient,0.0024557547134243522,0.004887042723319945,0.001259155909036375,0.0025375565274948393
Negative_electrode_conductivity,0.004395478849568699,0.09546761431008455,0.26146191573569494,0.37848473824953277
Positive_electrode_conductivity,0.04218032149449438,0.07247255707631758,0.12014449258066286,0.18896473855454626
Initial_concentration_in_negative_electrode,0.10672618114055164,0.14016672762656046,0.41864024152717233,0.4947296305739587
Initial_concentration_in_positive_electrode,0.07069330641017416,0.13259356539819991,0.5162115972850247,0.5454368986722128
