real_time,real_voltage,simu_time,simu_voltage
0,3.36032,0,3.539427279372547
10,3.341365,10,3.512314024797878
20,3.331057,20,3.4852007702232086
30,3.323706,30,3.4580875156485393
40,3.318192,40,3.43097426107387
50,3.313921,50,3.4038610064992008
60,3.310527,60,3.3768798888963008
70,3.307788,70,3.3698514540305498
80,3.305593,80,3.3628230191647983
90,3.303823,90,3.3557945842990473
100,3.302389,100,3.348766149433296
110,3.301229,110,3.341737714567545
120,3.300329,120,3.334754818486826
130,3.299663,130,3.331187331283547
140,3.299122,140,3.3276198440802687
150,3.298736,150,3.3240523568769897
160,3.298439,160,3.320484869673711
170,3.298227,170,3.316917382470432
180,3.298087,180,3.31337776570309
190,3.297961,190,3.3112223805872594
200,3.297924,200,3.3090669954714294
210,3.297877,210,3.3069116103555993
220,3.297856,220,3.304756225239769
230,3.297856,230,3.302600840123939
240,3.297862,240,3.3004651065511585
250,3.297879,250,3.2990564800712265
260,3.297877,260,3.2976478535912945
270,3.29793,270,3.2962392271113625
280,3.297943,280,3.2948306006314305
290,3.297974,290,3.2934219741514985
300,3.29801,300,3.2920281673631266
310,3.298051,310,3.2910700595066236
320,3.298049,320,3.29011195165012
330,3.298102,330,3.289153843793617
340,3.298123,340,3.2881957359371135
350,3.298167,350,3.2872376280806104
360,3.298176,360,3.2862910257917894
370,3.29821,370,3.2856243923165707
380,3.298242,380,3.2849577588413514
390,3.298271,390,3.2842911253661327
400,3.298299,400,3.283624491890914
410,3.298309,410,3.282957858415695
420,3.298365,420,3.282300377965136
430,3.298384,430,3.281832495882532
440,3.29839,440,3.2813646137999286
450,3.298416,450,3.2808967317173248
460,3.298445,460,3.280428849634721
470,3.298466,470,3.279960967552117
480,3.298471,480,3.2795003919917414
490,3.298503,490,3.27917133383147
500,3.298509,500,3.2788422756711983
510,3.29853,510,3.278513217510927
520,3.298547,520,3.278184159350655
530,3.298566,530,3.2778551011903834
540,3.298581,540,3.2775318792850356
550,3.298602,550,3.277301388985703
560,3.298609,560,3.2770708986863695
570,3.298613,570,3.276840408387036
