real_time,real_voltage,simu_time,simu_voltage
0,3.36032,0,3.354727857382287
10,3.341365,10,3.3116491837302955
20,3.331057,20,3.2685705100783036
30,3.323706,30,3.225491836426312
40,3.318192,40,3.2290919387730703
50,3.313921,50,3.2339714519595004
60,3.310527,60,3.2388340700933353
70,3.307788,70,3.241145535285249
80,3.305593,80,3.243457000477162
90,3.303823,90,3.2457684656690753
100,3.302389,100,3.248079930860989
110,3.301229,110,3.250391396052902
120,3.300329,120,3.252688778425119
130,3.299663,130,3.253929949320094
140,3.299122,140,3.255171120215069
150,3.298736,150,3.256412291110044
160,3.298439,160,3.257653462005019
170,3.298227,170,3.258894632899994
180,3.298087,180,3.260127374883556
190,3.297961,190,3.2609414809335946
200,3.297924,200,3.261755586983633
210,3.297877,210,3.262569693033672
220,3.297856,220,3.2633837990837105
230,3.297856,230,3.264197905133749
240,3.297862,240,3.2650060699452546
250,3.297879,250,3.265594408931021
260,3.297877,260,3.266182747916788
270,3.29793,270,3.2667710869025552
280,3.297943,280,3.2673594258883223
290,3.297974,290,3.2679477648740893
300,3.29801,300,3.2685315920272755
310,3.298051,310,3.268982771302589
320,3.298049,320,3.2694339505779033
330,3.298102,330,3.269885129853217
340,3.298123,340,3.270336309128531
350,3.298167,350,3.270787488403845
360,3.298176,360,3.271235079919611
370,3.29821,370,3.2715953692863766
380,3.298242,380,3.2719556586531424
390,3.298271,390,3.272315948019908
400,3.298299,400,3.272676237386674
410,3.298309,410,3.27303652675344
420,3.298365,420,3.2733938693715436
430,3.298384,430,3.2736901721959306
440,3.29839,440,3.2739864750203176
450,3.298416,450,3.2742827778447046
460,3.298445,460,3.274579080669092
470,3.298466,470,3.274875383493479
480,3.298471,480,3.2751692066020235
490,3.298503,490,3.2754183948254005
500,3.298509,500,3.275667583048778
510,3.29853,510,3.275916771272155
520,3.298547,520,3.2761659594955326
530,3.298566,530,3.2764151477189096
540,3.298581,540,3.276662209547151
550,3.298602,550,3.2768754853193425
560,3.298609,560,3.2770887610915334
570,3.298613,570,3.2773020368637247
580,3.298632,580,3.277515312635916
590,3.29864,590,3.2777285884081073
600,3.298685,600,3.277940013032956
610,3.298632,610,3.278125151365545
620,3.298664,620,3.278310289698134
630,3.298679,630,3.2784954280307237
640,3.298708,640,3.2786805663633127
650,3.298698,650,3.2788657046959018
660,3.29871,660,3.279049211356341
670,3.298717,670,3.279211802946501
680,3.298723,680,3.2793743945366605
690,3.298704,690,3.2795369861268204
700,3.298717,700,3.27969957771698
710,3.298732,710,3.2798621693071395
720,3.298744,720,3.2800233080953083
730,3.29873,730,3.2801674975269135
740,3.298747,740,3.2803116869585187
750,3.298757,750,3.280455876390124
760,3.298749,760,3.2806000658217296
770,3.298747,770,3.280744255253335
780,3.298762,780,3.280887139203947
790,3.298742,790,3.281016064550093
800,3.298753,800,3.2811449898962395
810,3.298759,810,3.281273915242386
820,3.298768,820,3.281402840588532
830,3.298768,830,3.2815317659346785
840,3.298751,840,3.2816595097702823
850,3.298766,850,3.281775607287683
860,3.298747,860,3.281891704805083
870,3.298749,870,3.2820078023224832
880,3.298764,880,3.282123899839884
890,3.298751,890,3.282239997357284
900,3.298749,900,3.282355018260593
910,3.298747,910,3.2824602060885337
920,3.298734,920,3.2825653939164745
930,3.298742,930,3.2826705817444153
940,3.29874,940,3.282775769572356
950,3.298736,950,3.282880957400297
960,3.29874,960,3.28298515865623
970,3.298734,970,3.2830809740500997
980,3.298715,980,3.283176789443969
990,3.298725,990,3.2832726048378387
1000,3.298702,1000,3.2833684202317084
1010,3.298719,1010,3.2834642356255777
1020,3.298702,1020,3.283559142283844
1030,3.2987,1030,3.2836468325123205
1040,3.298685,1040,3.2837345227407972
1050,3.298666,1050,3.2838222129692736
1060,3.298653,1060,3.2839099031977503
1070,3.298668,1070,3.2839975934262267
1080,3.298643,1080,3.284084442888665
1090,3.298651,1090,3.2841650333150394
1100,3.298645,1100,3.2842456237414144
1110,3.298619,1110,3.284326214167789
1120,3.298611,1120,3.2844068045941635
1130,3.298615,1130,3.2844873950205384
1140,3.298624,1140,3.284567204260574
1150,3.298577,1150,3.284641545196237
1160,3.29857,1160,3.2847158861319
1170,3.298551,1170,3.284790227067563
1180,3.298562,1180,3.2848645680032265
1190,3.298547,1190,3.2849389089388894
1200,3.298524,1200,3.2850125214401564
1210,3.298532,1210,3.285081326274409
1220,3.298528,1220,3.2851501311086615
1230,3.298526,1230,3.2852189359429143
1240,3.298501,1240,3.285287740777167
1250,3.298501,1250,3.2853565456114193
1260,3.298475,1260,3.285424668944529
1270,3.298475,1270,3.285488541008602
1280,3.29846,1280,3.285552413072675
1290,3.298469,1290,3.2856162851367485
1300,3.298437,1300,3.2856801572008214
1310,3.298426,1310,3.2857440292648947
1320,3.298426,1320,3.285807261761515
1330,3.298401,1330,3.2858667149959118
1340,3.298388,1340,3.2859261682303083
1350,3.298375,1350,3.285985621464705
1360,3.298343,1360,3.286045074699102
1370,3.298352,1370,3.286104527933499
1380,3.298335,1380,3.2861633792754033
1390,3.298326,1390,3.2862188547855027
1400,3.29831,1400,3.2862743302956017
1410,3.298301,1410,3.286329805805701
1420,3.29829,1420,3.2863852813158
1430,3.298282,1430,3.2864407568258995
1440,3.298246,1440,3.2864956644514898
1450,3.298237,1450,3.2865475433596973
1460,3.298235,1460,3.286599422267905
1470,3.298216,1470,3.286651301176112
1480,3.298193,1480,3.2867031800843196
1490,3.298195,1490,3.286755058992527
1500,3.298182,1500,3.2868064008438265
1510,3.298163,1510,3.2868550144460293
1520,3.298138,1520,3.286903628048232
1530,3.298121,1530,3.2869522416504355
1540,3.298108,1540,3.2870008552526384
1550,3.298085,1550,3.2870494688548413
1560,3.298097,1560,3.2870975734397083
1570,3.298047,1570,3.287143211248254
1580,3.29804,1580,3.2871888490567995
1590,3.298017,1590,3.2872344868653456
1600,3.298,1600,3.287280124673891
1610,3.298017,1610,3.287325762482437
1620,3.298019,1620,3.2873709168738836
1630,3.297968,1630,3.2874138332232046
1640,3.297981,1640,3.287456749572526
1650,3.297964,1650,3.287499665921847
1660,3.297928,1660,3.2875425822711684
1670,3.297904,1670,3.2875854986204898
1680,3.297911,1680,3.2876279550001932
1690,3.297896,1690,3.287668374371591
1700,3.297879,1700,3.287708793742989
1710,3.29786,1710,3.287749213114387
