real_time,real_voltage,simu_time,simu_voltage
0,3.347646,0,3.5951292500498853
10,3.339786,10,3.5840566814681867
20,3.335053,20,3.572984112886488
30,3.331345,30,3.561911544304789
40,3.328233,40,3.5508389757230905
50,3.325617,50,3.539766407141392
60,3.323391,60,3.5286938385596933
70,3.321421,70,3.5204429935634964
80,3.319717,80,3.5121921485672996
90,3.318207,90,3.5039413035711027
100,3.316832,100,3.495690458574906
110,3.315623,110,3.487439613578709
120,3.314553,120,3.479188768582512
130,3.313605,130,3.472700332866331
140,3.312757,140,3.4662118971501497
150,3.311993,150,3.4597234614339687
160,3.311344,160,3.4532350257177877
170,3.310722,170,3.4467465900016063
180,3.310196,180,3.4402581542854254
190,3.309721,190,3.4351527708286524
200,3.309314,200,3.430047387371879
210,3.308959,210,3.424942003915106
220,3.30865,220,3.4198366204583333
230,3.308367,230,3.41473123700156
240,3.308147,240,3.409625853544787
250,3.307943,250,3.4056078505263954
260,3.307748,260,3.4015898475080037
270,3.307625,270,3.3975718444896126
280,3.30751,280,3.393553841471221
290,3.307404,290,3.3895358384528294
300,3.307336,300,3.3855178354344377
310,3.307239,310,3.382356725599747
320,3.30719,320,3.379195615765057
330,3.30715,330,3.3760345059303667
340,3.307101,340,3.372873396095676
350,3.307086,350,3.3697122862609854
360,3.307069,360,3.366551176426295
370,3.307069,370,3.3640663172381386
380,3.307082,380,3.3615814580499817
390,3.307063,390,3.359096598861825
400,3.307069,400,3.3566117396736685
410,3.307088,410,3.3541268804855116
420,3.307076,420,3.351642021297355
430,3.307086,430,3.34969271353024
440,3.307105,440,3.3477434057631252
450,3.307141,450,3.34579409799601
460,3.307169,460,3.343844790228895
470,3.307186,470,3.3418954824617804
480,3.307199,480,3.3399461746946653
490,3.307233,490,3.338423285058869
500,3.307262,500,3.336900395423073
510,3.307279,510,3.3353775057872768
520,3.307319,520,3.3338546161514806
530,3.307341,530,3.3323317265156844
540,3.307374,540,3.3308088368798883
550,3.307404,550,3.3296277567225228
560,3.307421,560,3.328446676565157
570,3.307466,570,3.3272655964077913
580,3.307491,580,3.326084516250426
590,3.30754,590,3.32490343609306
600,3.307527,600,3.3237223559356943
610,3.307565,610,3.322818472878337
620,3.307599,620,3.32191458982098
630,3.307633,630,3.321010706763623
640,3.30765,640,3.3201068237062663
650,3.307667,650,3.319202940648909
660,3.307703,660,3.318299057591552
670,3.307724,670,3.317623537034042
680,3.307778,680,3.3169480164765317
