real_time,real_voltage,simu_time,simu_voltage
0,3.311722,0,3.4084768090506685
10,3.246109,10,3.3723610512944107
20,3.22967,20,3.336245293538153
30,3.223407,30,3.300129535781895
40,3.220923,40,3.264013778025637
50,3.219805,50,3.227898020269379
60,3.219181,60,3.1930402104648374
70,3.218835,70,3.1946628912600583
80,3.218621,80,3.1962855720552796
90,3.218511,90,3.1979082528505005
100,3.218415,100,3.199530933645722
110,3.218351,110,3.201153614440943
120,3.218324,120,3.2027192122089843
130,3.218311,130,3.2034856475965103
140,3.218256,140,3.204252082984036
150,3.218214,150,3.2050185183715616
160,3.218209,160,3.2057849537590877
170,3.218173,170,3.2065513891466133
180,3.218129,180,3.2072865359852063
190,3.218092,190,3.2077400858834033
200,3.218029,200,3.2081936357816003
210,3.217974,210,3.2086471856797973
220,3.217918,220,3.2091007355779944
230,3.217865,230,3.2095542854761914
240,3.2178,240,3.209986620152601
250,3.21773,250,3.2102810558873935
260,3.217634,260,3.210575491622186
270,3.217556,270,3.2108699273569785
280,3.21746,280,3.211164363091771
290,3.217392,290,3.211458798826564
300,3.21728,300,3.211736652570823
310,3.217182,310,3.211931596362415
320,3.217079,320,3.2121265401540073
330,3.216958,330,3.2123214839455994
340,3.216866,340,3.212516427737192
350,3.216735,350,3.212711371528784
360,3.216624,360,3.212891674719644
370,3.216497,370,3.213013415507576
380,3.216368,380,3.2131351562955084
390,3.216211,390,3.2132568970834408
400,3.216099,400,3.2133786378713727
410,3.215952,410,3.213500378659305
420,3.215823,420,3.213607679024113
430,3.215657,430,3.2136675322843686
440,3.215513,440,3.2137273855446247
450,3.215352,450,3.2137872388048803
460,3.215205,460,3.2138470920651363
470,3.21504,470,3.213906945325392
480,3.214891,480,3.2139513574603797
490,3.214713,490,3.213953306500881
500,3.214552,500,3.2139552555413826
510,3.21438,510,3.213957204581884
520,3.214236,520,3.2139591536223855
530,3.214019,530,3.213961102662887
540,3.213862,540,3.2139458249818285
550,3.213682,550,3.2138903516171298
560,3.213508,560,3.2138348782524306
570,3.213317,570,3.213779404887732
580,3.213137,580,3.2137239315230333
590,3.212952,590,3.2136684581583346
600,3.212734,600,3.2135932764442456
610,3.212568,610,3.213478678031378
620,3.212356,620,3.21336407961851
630,3.212151,630,3.213249481205642
640,3.211938,640,3.213134882792774
650,3.211768,650,3.213020284379906
660,3.211514,660,3.212881964576798
670,3.21135,670,3.2127026714632754
680,3.211141,680,3.212523378349753
690,3.210911,690,3.2123440852362304
700,3.210695,700,3.212164792122708
710,3.210479,710,3.2119854990091854
720,3.210275,720,3.2117757825422477
730,3.210035,730,3.211520431045187
740,3.209823,740,3.2112650795481263
750,3.209602,750,3.211009728051066
760,3.209348,760,3.210754376554005
770,3.209136,770,3.2104990250569445
780,3.208905,780,3.210203172100996
790,3.208688,790,3.209854355698809
800,3.208451,800,3.2095055392966225
810,3.208221,810,3.209156722894436
820,3.207988,820,3.2088079064922495
830,3.207755,830,3.208459090090063
840,3.207489,840,3.208058359683049
850,3.207256,850,3.2075982989848044
860,3.207031,860,3.20713823828656
870,3.206783,870,3.206678177588315
880,3.206571,880,3.2062181168900703
890,3.206304,890,3.2057580561918257
900,3.206066,900,3.205239656588997
