real_time,real_voltage,simu_time,simu_voltage
0,3.347646,0,3.4127709160312634
10,3.339786,10,3.390151102912314
20,3.335053,20,3.367531289793365
30,3.331345,30,3.3449114766744157
40,3.328233,40,3.3222916635554665
50,3.325617,50,3.2996718504365172
60,3.323391,60,3.277052037317568
70,3.321421,70,3.277923077953312
80,3.319717,80,3.278794118589057
90,3.318207,90,3.279665159224801
100,3.316832,100,3.280536199860545
110,3.315623,110,3.2814072404962897
120,3.314553,120,3.282278281132034
130,3.313605,130,3.2827575201452026
140,3.312757,140,3.2832367591583718
150,3.311993,150,3.283715998171541
160,3.311344,160,3.2841952371847096
170,3.310722,170,3.2846744761978783
180,3.310196,180,3.2851537152110475
190,3.309721,190,3.2854784889590327
200,3.309314,200,3.285803262707018
210,3.308959,210,3.286128036455003
220,3.30865,220,3.286452810202988
230,3.308367,230,3.286777583950973
240,3.308147,240,3.2871023576989584
250,3.307943,250,3.2873432740635415
260,3.307748,260,3.287584190428124
270,3.307625,270,3.2878251067927073
280,3.30751,280,3.2880660231572905
290,3.307404,290,3.288306939521873
300,3.307336,300,3.2885478558864563
310,3.307239,310,3.2887362853555797
320,3.30719,320,3.288924714824703
330,3.30715,330,3.289113144293826
340,3.307101,340,3.2893015737629496
350,3.307086,350,3.289490003232073
360,3.307069,360,3.2896784327011965
370,3.307069,370,3.2898311870966634
380,3.307082,380,3.2899839414921304
390,3.307063,390,3.2901366958875977
400,3.307069,400,3.2902894502830646
410,3.307088,410,3.2904422046785315
420,3.307076,420,3.2905949590739985
430,3.307086,430,3.2907220434127082
440,3.307105,440,3.2908491277514176
450,3.307141,450,3.2909762120901274
460,3.307169,460,3.291103296428837
470,3.307186,470,3.2912303807675465
480,3.307199,480,3.2913574651062563
490,3.307233,490,3.2914654007164357
500,3.307262,500,3.2915733363266155
510,3.307279,510,3.291681271936795
520,3.307319,520,3.2917892075469743
530,3.307341,530,3.291897143157154
540,3.307374,540,3.2920050787673336
550,3.307404,550,3.2920981793357793
560,3.307421,560,3.2921912799042254
570,3.307466,570,3.292284380472671
580,3.307491,580,3.292377481041117
590,3.30754,590,3.292470581609563
600,3.307527,600,3.2925636821780087
610,3.307565,610,3.2926451550516598
620,3.307599,620,3.2927266279253113
630,3.307633,630,3.292808100798963
640,3.30765,640,3.292889573672614
650,3.307667,650,3.292971046546265
660,3.307703,660,3.2930525194199167
670,3.307724,670,3.29312454454177
680,3.307778,680,3.2931965696636234
690,3.307805,690,3.293268594785477
700,3.307827,700,3.2933406199073305
710,3.307867,710,3.293412645029184
720,3.30789,720,3.293484670151037
730,3.30789,730,3.293548951732347
740,3.30792,740,3.2936132333136574
750,3.30796,750,3.2936775148949673
760,3.307966,760,3.293741796476277
770,3.307994,770,3.2938060780575875
780,3.308011,780,3.2938703596388974
790,3.30806,790,3.293928117424843
800,3.308051,800,3.2939858752107884
810,3.308077,810,3.294043632996734
820,3.308115,820,3.2941013907826795
830,3.308121,830,3.294159148568625
840,3.308159,840,3.2942169063545705
850,3.308185,850,3.2942695700877556
860,3.308191,860,3.2943222338209406
870,3.308232,870,3.2943748975541256
880,3.308249,880,3.2944275612873106
890,3.308274,890,3.2944802250204956
900,3.308291,900,3.2945328887536807
910,3.30831,910,3.29458045242391
920,3.308308,920,3.2946280160941397
930,3.308348,930,3.294675579764369
940,3.308361,940,3.2947231434345987
950,3.308367,950,3.2947707071048282
960,3.308384,960,3.2948182707750577
970,3.308418,970,3.294862091134643
980,3.308435,980,3.294905911494228
990,3.308446,990,3.2949497318538135
1000,3.308465,1000,3.294993552213399
1010,3.308471,1010,3.295037372572984
1020,3.308501,1020,3.295081192932569
1030,3.30849,1030,3.2951214473200467
1040,3.308533,1040,3.2951617017075248
1050,3.30855,1050,3.2952019560950028
1060,3.308548,1060,3.2952422104824803
1070,3.308586,1070,3.295282464869958
1080,3.308588,1080,3.295322719257436
1090,3.308596,1090,3.2953598901220387
1100,3.30862,1100,3.2953970609866414
1110,3.308641,1110,3.295434231851244
1120,3.308647,1120,3.2954714027158465
1130,3.308639,1130,3.2955085735804492
1140,3.308669,1140,3.295545744445052
1150,3.308683,1150,3.295580334275811
1160,3.308696,1160,3.2956149241065704
1170,3.308701,1170,3.2956495139373296
1180,3.308728,1180,3.295684103768089
1190,3.308724,1190,3.295718693598848
1200,3.308737,1200,3.2957532834296073
1210,3.308766,1210,3.295785453934332
1220,3.308764,1220,3.295817624439056
1230,3.308788,1230,3.2958497949437806
1240,3.30879,1240,3.295881965448505
1250,3.308785,1250,3.2959141359532294
1260,3.308811,1260,3.295946306457954
1270,3.308815,1270,3.295976335874998
1280,3.308819,1280,3.296006365292042
1290,3.308836,1290,3.2960363947090863
1300,3.308834,1300,3.2960664241261304
1310,3.308855,1310,3.2960964535431745
1320,3.308838,1320,3.2961264829602186
1330,3.308874,1330,3.296154598413306
1340,3.308879,1340,3.2961827138663935
1350,3.308887,1350,3.296210829319481
1360,3.308883,1360,3.296238944772568
1370,3.308883,1370,3.2962670602256554
1380,3.308885,1380,3.296295175678743
1390,3.308913,1390,3.296321509659623
1400,3.308908,1400,3.2963478436405023
1410,3.308915,1410,3.2963741776213817
1420,3.308942,1420,3.2964005116022617
1430,3.308913,1430,3.2964268455831416
1440,3.308929,1440,3.296453179564021
1450,3.308938,1450,3.2964780240939584
1460,3.308942,1460,3.2965028686238957
1470,3.308955,1470,3.296527713153833
1480,3.308951,1480,3.2965525576837704
1490,3.308968,1490,3.2965774022137078
1500,3.308955,1500,3.296602246743645
1510,3.308966,1510,3.2966256243778047
1520,3.308985,1520,3.2966490020119643
1530,3.308974,1530,3.2966723796461235
1540,3.308972,1540,3.296695757280283
1550,3.309,1550,3.2967191349144427
1560,3.309,1560,3.2967425125486023
1570,3.308989,1570,3.296764585525403
1580,3.309023,1580,3.296786658502203
1590,3.309008,1590,3.296808731479003
1600,3.309036,1600,3.2968308044558037
1610,3.30901,1610,3.296852877432604
1620,3.309006,1620,3.2968749504094044
1630,3.309029,1630,3.2968958163283104
1640,3.309027,1640,3.296916682247217
1650,3.309027,1650,3.296937548166123
1660,3.309031,1660,3.296958414085029
1670,3.309025,1670,3.2969792800039355
1680,3.309036,1680,3.2970001459228415
1690,3.309047,1690,3.2970199493926806
1700,3.309038,1700,3.2970397528625197
1710,3.309049,1710,3.297059556332359
1720,3.309053,1720,3.297079359802198
1730,3.309055,1730,3.297099163272037
1740,3.309042,1740,3.297118966741876
1750,3.309063,1750,3.2971378170014747
1760,3.309063,1760,3.297156667261073
1770,3.309049,1770,3.297175517520671
1780,3.309055,1780,3.2971943677802695
1790,3.309061,1790,3.297213218039868
1800,3.309063,1800,3.2972320682994662
1810,3.309091,1810,3.297249951820762
1820,3.309055,1820,3.297267835342058
1830,3.309074,1830,3.2972857188633538
1840,3.309057,1840,3.2973036023846496
1850,3.309063,1850,3.2973214859059454
1860,3.309063,1860,3.2973393694272413
1870,3.309063,1870,3.2973563979800544
1880,3.309087,1880,3.2973734265328676
1890,3.309063,1890,3.2973904550856803
1900,3.309072,1900,3.2974074836384935
1910,3.309057,1910,3.2974245121913066
1920,3.30904,1920,3.2974415407441198
1930,3.309061,1930,3.2974577684545427
1940,3.309074,1940,3.2974739961649657
1950,3.30907,1950,3.2974902238753883
1960,3.309063,1960,3.2975064515858112
1970,3.309049,1970,3.297522679296234
1980,3.309063,1980,3.297538907006657
1990,3.309036,1990,3.2975543218915853
2000,3.309059,2000,3.297569736776513
2010,3.309059,2010,3.2975851516614405
2020,3.309068,2020,3.2976005665463686
2030,3.309044,2030,3.2976159814312966
2040,3.309061,2040,3.2976313963162243
2050,3.309042,2050,3.297646184066723
2060,3.309057,2060,3.297660971817222
2070,3.309044,2070,3.2976757595677206
2080,3.309057,2080,3.2976905473182194
2090,3.309047,2090,3.297705335068718
2100,3.309066,2100,3.297720122819217
2110,3.30904,2110,3.2977342106576746
2120,3.309051,2120,3.297748298496132
2130,3.309044,2130,3.2977623863345897
2140,3.30904,2140,3.2977764741730478
2150,3.309044,2150,3.2977905620115053
2160,3.309034,2160,3.297804649849963
2170,3.309031,2170,3.2978181183859494
2180,3.309034,2180,3.297831586921936
2190,3.309027,2190,3.2978450554579224
2200,3.309017,2200,3.2978585239939084
2210,3.309014,2210,3.297871992529895
2220,3.309025,2220,3.2978854610658814
2230,3.309034,2230,3.297898400440905
2240,3.309006,2240,3.2979113398159288
2250,3.309014,2250,3.297924279190952
2260,3.309004,2260,3.2979372185659757
2270,3.308993,2270,3.2979501579409995
2280,3.309004,2280,3.297963097316023
2290,3.309,2290,3.297975506683544
2300,3.308987,2300,3.2979879160510652
2310,3.30897,2310,3.2980003254185863
2320,3.309,2320,3.2980127347861075
2330,3.308987,2330,3.2980251441536286
2340,3.308976,2340,3.2980375535211497
2350,3.308983,2350,3.2980494379867142
2360,3.308974,2360,3.2980613224522783
2370,3.308985,2370,3.298073206917843
2380,3.308991,2380,3.2980850913834074
2390,3.308966,2390,3.2980969758489715
2400,3.308966,2400,3.298108860314536
2410,3.308961,2410,3.298120274683863
2420,3.308974,2420,3.2981316890531898
2430,3.308983,2430,3.298143103422517
2440,3.308962,2440,3.298154517791844
2450,3.308942,2450,3.2981659321611705
2460,3.308955,2460,3.2981773465304975
2470,3.308953,2470,3.2981883069979583
2480,3.30894,2480,3.2981992674654195
2490,3.308953,2490,3.29821022793288
2500,3.308936,2500,3.298221188400341
2510,3.308951,2510,3.298232148867802
2520,3.308928,2520,3.298243109335263
2530,3.308936,2530,3.2982536092767427
2540,3.308913,2540,3.298264109218223
2550,3.308917,2550,3.298274609159703
2560,3.308923,2560,3.2982851091011827
2570,3.308934,2570,3.298295609042663
2580,3.308908,2580,3.298306108984143
2590,3.30891,2590,3.2983162229722014
2600,3.308919,2600,3.29832633696026
2610,3.308889,2610,3.2983364509483186
2620,3.308881,2620,3.2983465649363772
2630,3.308881,2630,3.298356678924436
2640,3.308877,2640,3.2983667929124945
2650,3.308887,2650,3.2983765027371814
2660,3.30887,2660,3.2983862125618684
2670,3.308857,2670,3.2983959223865553
2680,3.308864,2680,3.2984056322112423
2690,3.308876,2690,3.2984153420359292
2700,3.308851,2700,3.298425051860616
2710,3.308851,2710,3.29843440053148
2720,3.308845,2720,3.298443749202343
2730,3.308853,2730,3.2984530978732067
2740,3.308821,2740,3.2984624465440704
2750,3.308819,2750,3.2984717952149336
2760,3.308819,2760,3.2984811438857973
2770,3.308826,2770,3.2984901469307415
2780,3.308824,2780,3.298499149975686
2790,3.308811,2790,3.2985081530206304
2800,3.308807,2800,3.2985171560655746
2810,3.308798,2810,3.2985261591105193
2820,3.308796,2820,3.2985351621554635
2830,3.308787,2830,3.2985438428590084
2840,3.30879,2840,3.2985525235625532
2850,3.308766,2850,3.2985612042660986
2860,3.308794,2860,3.2985698849696434
2870,3.308775,2870,3.2985785656731883
2880,3.308756,2880,3.298587246376733
2890,3.308737,2890,3.298595635034524
2900,3.30876,2900,3.2986040236923144
2910,3.308737,2910,3.2986124123501055
2920,3.308745,2920,3.298620801007896
2930,3.308722,2930,3.2986291896656867
2940,3.308732,2940,3.2986375783234774
2950,3.308715,2950,3.298645638960899
2960,3.308707,2960,3.2986536995983204
2970,3.308705,2970,3.298661760235742
2980,3.308705,2980,3.298669820873163
2990,3.308722,2990,3.2986778815105846
3000,3.308677,3000,3.298685942148006
3010,3.308711,3010,3.2986937270205487
3020,3.308696,3020,3.298701511893092
3030,3.308671,3030,3.298709296765635
3040,3.308673,3040,3.2987170816381775
3050,3.30866,3050,3.29872486651072
3060,3.308666,3060,3.298732651383263
3070,3.308647,3070,3.2987401529017832
3080,3.308647,3080,3.298747654420303
3090,3.308647,3090,3.298755155938823
3100,3.308652,3100,3.298762657457343
3110,3.308637,3110,3.298770158975863
3120,3.308603,3120,3.298777660494383
3130,3.308633,3130,3.2987848786588807
3140,3.308614,3140,3.2987920968233784
3150,3.30863,3150,3.298799314987876
3160,3.308594,3160,3.2988065331523737
3170,3.308614,3170,3.2988137513168714
3180,3.308599,3180,3.298820969481369
3190,3.308582,3190,3.29882794125255
3200,3.308599,3200,3.2988349130237307
3210,3.308586,3210,3.2988418847949115
3220,3.308563,3220,3.2988488565660923
3230,3.308577,3230,3.298855828337273
3240,3.308567,3240,3.298862800108454
3250,3.308558,3250,3.2988695261344407
3260,3.308552,3260,3.298876252160427
3270,3.308546,3270,3.298882978186414
3280,3.308522,3280,3.298889704212401
3290,3.308509,3290,3.298896430238387
3300,3.308505,3300,3.298903156264374
3310,3.30849,3310,3.2989096332278622
3320,3.308501,3320,3.29891611019135
3330,3.308475,3330,3.298922587154838
3340,3.308484,3340,3.2989290641183264
3350,3.30849,3350,3.298935541081814
3360,3.308473,3360,3.2989420180453024
3370,3.308471,3370,3.298948249652335
3380,3.308465,3380,3.298954481259368
3390,3.308456,3390,3.2989607128664007
3400,3.308427,3400,3.2989669444734333
3410,3.308433,3410,3.2989731760804664
