real_time,real_voltage,simu_time,simu_voltage
0,3.347646,0,3.535120631079293
10,3.339786,10,3.514641789034586
20,3.335053,20,3.4941629469898783
30,3.331345,30,3.473684104945171
40,3.328233,40,3.453205262900464
50,3.325617,50,3.4327264208557566
60,3.323391,60,3.4122475788110496
70,3.321421,70,3.4058488837189413
80,3.319717,80,3.3994501886268336
90,3.318207,90,3.393051493534726
100,3.316832,100,3.3866527984426176
110,3.315623,110,3.3802541033505094
120,3.314553,120,3.3738554082584016
130,3.313605,130,3.3699097616958413
140,3.312757,140,3.3659641151332815
150,3.311993,150,3.3620184685707217
160,3.311344,160,3.3580728220081615
170,3.310722,170,3.3541271754456012
180,3.310196,180,3.3501815288830414
190,3.309721,190,3.3474592786068826
200,3.309314,200,3.344737028330724
210,3.308959,210,3.342014778054565
220,3.30865,220,3.3392925277784062
230,3.308367,230,3.3365702775022474
240,3.308147,240,3.3338480272260886
250,3.307943,250,3.331878137920399
260,3.307748,260,3.3299082486147094
270,3.307625,270,3.3279383593090195
280,3.30751,280,3.32596847000333
290,3.307404,290,3.3239985806976406
300,3.307336,300,3.322028691391951
310,3.307239,310,3.3205683475950627
320,3.30719,320,3.319108003798175
330,3.30715,330,3.3176476600012874
340,3.307101,340,3.3161873162043993
350,3.307086,350,3.3147269724075117
360,3.307069,360,3.3132666286106236
370,3.307069,370,3.3121707082502705
380,3.307082,380,3.3110747878899174
390,3.307063,390,3.309978867529564
400,3.307069,400,3.3088829471692107
410,3.307088,410,3.3077870268088576
420,3.307076,420,3.3066911064485045
430,3.307086,430,3.3058654064824893
440,3.307105,440,3.3050397065164736
450,3.307141,450,3.304214006550458
460,3.307169,460,3.3033883065844427
470,3.307186,470,3.3025626066184275
480,3.307199,480,3.301736906652412
490,3.307233,490,3.301115043809451
500,3.307262,500,3.3004931809664906
510,3.307279,510,3.2998713181235297
520,3.307319,520,3.299249455280569
530,3.307341,530,3.2986275924376085
540,3.307374,540,3.2980057295946477
550,3.307404,550,3.29753958681602
560,3.307421,560,3.2970734440373923
570,3.307466,570,3.296607301258765
580,3.307491,580,3.2961411584801374
590,3.30754,590,3.2956750157015096
600,3.307527,600,3.295208872922882
610,3.307565,610,3.294862597865978
620,3.307599,620,3.294516322809074
630,3.307633,630,3.2941700477521696
640,3.30765,640,3.2938237726952653
650,3.307667,650,3.2934774976383614
660,3.307703,660,3.293131222581457
670,3.307724,670,3.2928772707050236
680,3.307778,680,3.29262331882859
690,3.307805,690,3.2923693669521565
700,3.307827,700,3.292115415075723
710,3.307867,710,3.2918614631992895
720,3.30789,720,3.291607511322856
730,3.30789,730,3.2914249213187725
740,3.30792,740,3.2912423313146886
750,3.30796,750,3.291059741310605
760,3.307966,760,3.2908771513065216
770,3.307994,770,3.2906945613024376
780,3.308011,780,3.290511971298354
790,3.30806,790,3.290384314571513
800,3.308051,800,3.2902566578446715
810,3.308077,810,3.29012900111783
820,3.308115,820,3.290001344390989
830,3.308121,830,3.2898736876641475
840,3.308159,840,3.289746030937306
850,3.308185,850,3.2896607955703048
860,3.308191,860,3.289575560203303
870,3.308232,870,3.2894903248363017
880,3.308249,880,3.2894050894693003
890,3.308274,890,3.2893198541022985
900,3.308291,900,3.289234618735297
910,3.30831,910,3.289181881831379
920,3.308308,920,3.2891291449274607
930,3.308348,930,3.2890764080235426
940,3.308361,940,3.2890236711196246
950,3.308367,950,3.288970934215706
960,3.308384,960,3.288918197311788
970,3.308418,970,3.2888899499742887
980,3.308435,980,3.288861702636789
990,3.308446,990,3.2888334552992897
1000,3.308465,1000,3.2888052079617904
1010,3.308471,1010,3.2887769606242907
1020,3.308501,1020,3.2887487132867914
1030,3.30849,1030,3.2887393756466747
1040,3.308533,1040,3.2887300380065585
1050,3.30855,1050,3.288720700366442
1060,3.308548,1060,3.288711362726325
1070,3.308586,1070,3.288702025086209
1080,3.308588,1080,3.2886926874460922
1090,3.308596,1090,3.2886973245577944
1100,3.30862,1100,3.288701961669497
1110,3.308641,1110,3.288706598781199
1120,3.308647,1120,3.2887112358929014
1130,3.308639,1130,3.288715873004604
1140,3.308669,1140,3.288720510116306
1150,3.308683,1150,3.288735515146646
1160,3.308696,1160,3.2887505201769858
1170,3.308701,1170,3.288765525207326
1180,3.308728,1180,3.288780530237666
1190,3.308724,1190,3.2887955352680054
1200,3.308737,1200,3.2888105402983454
1210,3.308766,1210,3.2888332782340046
1220,3.308764,1220,3.2888560161696643
1230,3.308788,1230,3.2888787541053235
1240,3.30879,1240,3.2889014920409827
1250,3.308785,1250,3.2889242299766424
1260,3.308811,1260,3.2889469679123016
1270,3.308815,1270,3.288975196899302
1280,3.308819,1280,3.2890034258863023
1290,3.308836,1290,3.2890316548733027
1300,3.308834,1300,3.2890598838603027
1310,3.308855,1310,3.289088112847303
1320,3.308838,1320,3.2891163418343035
1330,3.308874,1330,3.2891483949038447
1340,3.308879,1340,3.289180447973386
1350,3.308887,1350,3.289212501042927
1360,3.308883,1360,3.289244554112468
1370,3.308883,1370,3.289276607182009
1380,3.308885,1380,3.2893086602515504
1390,3.308913,1390,3.2893432347576392
1400,3.308908,1400,3.289377809263728
1410,3.308915,1410,3.2894123837698173
1420,3.308942,1420,3.289446958275906
1430,3.308913,1430,3.289481532781995
1440,3.308929,1440,3.2895161072880836
1450,3.308938,1450,3.289552165514017
1460,3.308942,1460,3.2895882237399503
1470,3.308955,1470,3.289624281965884
1480,3.308951,1480,3.2896603401918174
1490,3.308968,1490,3.2896963984177505
1500,3.308955,1500,3.289732456643684
1510,3.308966,1510,3.289769349202485
1520,3.308985,1520,3.289806241761285
1530,3.308974,1530,3.289843134320086
1540,3.308972,1540,3.289880026878887
1550,3.309,1550,3.289916919437687
1560,3.309,1560,3.289953811996488
1570,3.308989,1570,3.2899911545189817
1580,3.309023,1580,3.2900284970414755
1590,3.309008,1590,3.2900658395639697
1600,3.309036,1600,3.2901031820864635
1610,3.30901,1610,3.2901405246089572
1620,3.309006,1620,3.290177867131451
1630,3.309029,1630,3.2902149225939925
1640,3.309027,1640,3.290251978056534
1650,3.309027,1650,3.2902890335190755
1660,3.309031,1660,3.290326088981617
1670,3.309025,1670,3.2903631444441586
1680,3.309036,1680,3.2904001999067
1690,3.309047,1690,3.2904367953841107
1700,3.309038,1700,3.2904733908615214
1710,3.309049,1710,3.290509986338932
1720,3.309053,1720,3.2905465818163426
1730,3.309055,1730,3.2905831772937533
1740,3.309042,1740,3.290619772771164
1750,3.309063,1750,3.290655728385398
1760,3.309063,1760,3.2906916839996314
1770,3.309049,1770,3.2907276396138654
1780,3.309055,1780,3.2907635952280994
1790,3.309061,1790,3.290799550842333
1800,3.309063,1800,3.290835506456567
1810,3.309091,1810,3.290870599944576
1820,3.309055,1820,3.2909056934325855
1830,3.309074,1830,3.2909407869205953
1840,3.309057,1840,3.2909758804086047
1850,3.309063,1850,3.291010973896614
1860,3.309063,1860,3.2910460673846234
1870,3.309063,1870,3.2910802363101257
1880,3.309087,1880,3.2911144052356276
1890,3.309063,1890,3.29114857416113
1900,3.309072,1900,3.2911827430866323
1910,3.309057,1910,3.291216912012134
1920,3.30904,1920,3.2912510809376365
