real_time,real_voltage,simu_time,simu_voltage
0,3.347646,0,3.40674508043258
10,3.339786,10,3.384374938396872
20,3.335053,20,3.362004796361164
30,3.331345,30,3.3396346543254554
40,3.328233,40,3.3172645122897473
50,3.325617,50,3.294894370254039
60,3.323391,60,3.272524228218331
70,3.321421,70,3.2734295678850938
80,3.319717,80,3.2743349075518564
90,3.318207,90,3.275240247218619
100,3.316832,100,3.2761455868853817
110,3.315623,110,3.2770509265521444
120,3.314553,120,3.277956266218907
130,3.313605,130,3.278451868801423
140,3.312757,140,3.2789474713839386
150,3.311993,150,3.279443073966455
160,3.311344,160,3.2799386765489706
170,3.310722,170,3.2804342791314864
180,3.310196,180,3.2809298817140022
190,3.309721,190,3.2812668474061093
200,3.309314,200,3.281603813098217
210,3.308959,210,3.281940778790324
220,3.30865,220,3.282277744482431
230,3.308367,230,3.2826147101745384
240,3.308147,240,3.2829516758666455
250,3.307943,250,3.2832037164277614
260,3.307748,260,3.283455756988878
270,3.307625,270,3.2837077975499938
280,3.30751,280,3.2839598381111097
290,3.307404,290,3.284211878672226
300,3.307336,300,3.284463919233342
310,3.307239,310,3.284662859973514
320,3.30719,320,3.2848618007136867
330,3.30715,330,3.285060741453859
340,3.307101,340,3.285259682194031
350,3.307086,350,3.2854586229342035
360,3.307069,360,3.2856575636743757
370,3.307069,370,3.285820095391342
380,3.307082,380,3.285982627108309
390,3.307063,390,3.286145158825276
400,3.307069,400,3.2863076905422424
410,3.307088,410,3.286470222259209
420,3.307076,420,3.2866327539761757
430,3.307086,430,3.2867688208939314
440,3.307105,440,3.286904887811687
450,3.307141,450,3.2870409547294432
460,3.307169,460,3.287177021647199
470,3.307186,470,3.2873130885649546
480,3.307199,480,3.2874491554827103
490,3.307233,490,3.287565336638374
500,3.307262,500,3.287681517794037
510,3.307279,510,3.2877976989497
520,3.307319,520,3.287913880105364
530,3.307341,530,3.2880300612610274
540,3.307374,540,3.2881462424166905
550,3.307404,550,3.2882468155188205
560,3.307421,560,3.28834738862095
570,3.307466,570,3.28844796172308
580,3.307491,580,3.28854853482521
590,3.30754,590,3.2886491079273394
600,3.307527,600,3.2887496810294694
610,3.307565,610,3.288837867234248
620,3.307599,620,3.288926053439026
630,3.307633,630,3.2890142396438042
640,3.30765,640,3.289102425848583
650,3.307667,650,3.2891906120533614
660,3.307703,660,3.2892787982581395
670,3.307724,670,3.2893568839793788
680,3.307778,680,3.289434969700618
690,3.307805,690,3.2895130554218572
700,3.307827,700,3.2895911411430965
710,3.307867,710,3.2896692268643357
720,3.30789,720,3.289747312585575
730,3.30789,730,3.289817071530522
740,3.30792,740,3.2898868304754694
750,3.30796,750,3.2899565894204166
760,3.307966,760,3.2900263483653642
770,3.307994,770,3.2900961073103114
780,3.308011,780,3.2901658662552586
790,3.30806,790,3.290228628498593
800,3.308051,800,3.290291390741927
810,3.308077,810,3.2903541529852616
820,3.308115,820,3.290416915228596
830,3.308121,830,3.29047967747193
840,3.308159,840,3.2905424397152645
850,3.308185,850,3.290599318544067
860,3.308191,860,3.2906561973728694
870,3.308232,870,3.290713076201672
880,3.308249,880,3.2907699550304743
890,3.308274,890,3.2908268338592768
900,3.308291,900,3.290883712688079
910,3.30831,910,3.2909355098224387
920,3.308308,920,3.2909873069567985
930,3.308348,930,3.291039104091158
940,3.308361,940,3.2910909012255174
950,3.308367,950,3.2911426983598773
960,3.308384,960,3.2911944954942367
970,3.308418,970,3.2912419809284463
980,3.308435,980,3.2912894663626555
990,3.308446,990,3.291336951796865
1000,3.308465,1000,3.2913844372310748
1010,3.308471,1010,3.291431922665284
1020,3.308501,1020,3.2914794080994936
1030,3.30849,1030,3.291523075101675
1040,3.308533,1040,3.2915667421038566
1050,3.30855,1050,3.291610409106038
1060,3.308548,1060,3.291654076108219
1070,3.308586,1070,3.291697743110401
1080,3.308588,1080,3.291741410112582
1090,3.308596,1090,3.2917817047326166
1100,3.30862,1100,3.291821999352651
1110,3.308641,1110,3.2918622939726854
1120,3.308647,1120,3.29190258859272
1130,3.308639,1130,3.291942883212754
1140,3.308669,1140,3.2919831778327886
1150,3.308683,1150,3.2920205620006477
1160,3.308696,1160,3.2920579461685073
1170,3.308701,1170,3.2920953303363665
1180,3.308728,1180,3.2921327145042256
1190,3.308724,1190,3.292170098672085
1200,3.308737,1200,3.2922074828399444
1210,3.308766,1210,3.2922422420187156
1220,3.308764,1220,3.2922770011974873
1230,3.308788,1230,3.2923117603762586
1240,3.30879,1240,3.29234651955503
1250,3.308785,1250,3.2923812787338016
1260,3.308811,1260,3.292416037912573
1270,3.308815,1270,3.2924484593129573
1280,3.308819,1280,3.2924808807133417
1290,3.308836,1290,3.292513302113726
1300,3.308834,1300,3.2925457235141105
1310,3.308855,1310,3.292578144914495
1320,3.308838,1320,3.2926105663148793
1330,3.308874,1330,3.292640892548616
1340,3.308879,1340,3.292671218782352
1350,3.308887,1350,3.292701545016089
1360,3.308883,1360,3.2927318712498255
1370,3.308883,1370,3.2927621974835617
1380,3.308885,1380,3.2927925237172984
1390,3.308913,1390,3.292820962458424
1400,3.308908,1400,3.29284940119955
1410,3.308915,1410,3.2928778399406755
1420,3.308942,1420,3.292906278681801
1430,3.308913,1430,3.292934717422927
1440,3.308929,1440,3.2929631561640527
1450,3.308938,1450,3.2929898815351546
1460,3.308942,1460,3.2930166069062565
1470,3.308955,1470,3.2930433322773585
1480,3.308951,1480,3.29307005764846
1490,3.308968,1490,3.293096783019562
1500,3.308955,1500,3.293123508390664
1510,3.308966,1510,3.29314864604773
1520,3.308985,1520,3.293173783704796
1530,3.308974,1530,3.2931989213618627
1540,3.308972,1540,3.293224059018929
1550,3.309,1550,3.293249196675995
1560,3.309,1560,3.293274334333061
1570,3.308989,1570,3.2932981371879846
1580,3.309023,1580,3.2933219400429077
1590,3.309008,1590,3.293345742897831
1600,3.309036,1600,3.2933695457527548
1610,3.30901,1610,3.293393348607678
1620,3.309006,1620,3.2934171514626014
1630,3.309029,1630,3.2934395943288006
1640,3.309027,1640,3.293462037195
1650,3.309027,1650,3.293484480061199
1660,3.309031,1660,3.2935069229273983
1670,3.309025,1670,3.2935293657935976
1680,3.309036,1680,3.293551808659797
1690,3.309047,1690,3.293573112768
1700,3.309038,1700,3.2935944168762035
1710,3.309049,1710,3.293615720984407
1720,3.309053,1720,3.29363702509261
1730,3.309055,1730,3.2936583292008135
1740,3.309042,1740,3.293679633309017
1750,3.309063,1750,3.29369982417141
1760,3.309063,1760,3.2937200150338035
1770,3.309049,1770,3.2937402058961966
1780,3.309055,1780,3.29376039675859
1790,3.309061,1790,3.2937805876209834
1800,3.309063,1800,3.2938007784833765
1810,3.309091,1810,3.2938199543865725
1820,3.309055,1820,3.2938391302897685
1830,3.309074,1830,3.293858306192965
1840,3.309057,1840,3.293877482096161
1850,3.309063,1850,3.293896657999357
1860,3.309063,1860,3.293915833902553
1870,3.309063,1870,3.2939340831636583
1880,3.309087,1880,3.2939523324247633
1890,3.309063,1890,3.293970581685868
1900,3.309072,1900,3.2939888309469736
1910,3.309057,1910,3.294007080208079
1920,3.30904,1920,3.294025329469184
1930,3.309061,1930,3.2940426954482396
1940,3.309074,1940,3.2940600614272952
1950,3.30907,1950,3.294077427406351
1960,3.309063,1960,3.294094793385407
1970,3.309049,1970,3.2941121593644627
1980,3.309063,1980,3.2941295253435183
1990,3.309036,1990,3.294146106924096
2000,3.309059,2000,3.2941626885046733
2010,3.309059,2010,3.294179270085251
2020,3.309068,2020,3.294195851665828
2030,3.309044,2030,3.2942124332464053
2040,3.309061,2040,3.294229014826983
2050,3.309042,2050,3.2942448351623526
2060,3.309057,2060,3.2942606554977223
2070,3.309044,2070,3.294276475833092
2080,3.309057,2080,3.2942922961684618
2090,3.309047,2090,3.2943081165038315
2100,3.309066,2100,3.294323936839201
2110,3.30904,2110,3.2943390439656928
2120,3.309051,2120,3.2943541510921848
2130,3.309044,2130,3.2943692582186763
2140,3.30904,2140,3.294384365345168
2150,3.309044,2150,3.29439947247166
2160,3.309034,2160,3.2944145795981514
2170,3.309031,2170,3.2944290373382352
2180,3.309034,2180,3.2944434950783195
2190,3.309027,2190,3.2944579528184033
2200,3.309017,2200,3.294472410558487
2210,3.309014,2210,3.2944868682985713
2220,3.309025,2220,3.294501326038655
2230,3.309034,2230,3.294515197353193
2240,3.309006,2240,3.2945290686677304
