real_time,real_voltage,simu_time,simu_voltage
0,3.347646,0,3.577601701638274
10,3.339786,10,3.566506525783236
20,3.335053,20,3.5554113499281983
30,3.331345,30,3.54431617407316
40,3.328233,40,3.533220998218122
50,3.325617,50,3.5221258223630842
60,3.323391,60,3.511030646508046
70,3.321421,70,3.5062737533916866
80,3.319717,80,3.5015168602753275
90,3.318207,90,3.496759967158968
100,3.316832,100,3.4920030740426085
110,3.315623,110,3.4872461809262494
120,3.314553,120,3.48248928780989
130,3.313605,130,3.4790694718030175
140,3.312757,140,3.475649655796145
150,3.311993,150,3.472229839789273
160,3.311344,160,3.4688100237824004
170,3.310722,170,3.465390207775528
180,3.310196,180,3.4619703917686557
190,3.309721,190,3.4592292001247142
200,3.309314,200,3.456488008480773
210,3.308959,210,3.4537468168368317
220,3.30865,220,3.4510056251928902
230,3.308367,230,3.448264433548949
240,3.308147,240,3.4455232419050077
250,3.307943,250,3.443213956793684
260,3.307748,260,3.4409046716823597
270,3.307625,270,3.438595386571036
280,3.30751,280,3.436286101459712
290,3.307404,290,3.433976816348388
300,3.307336,300,3.431667531237064
310,3.307239,310,3.429664560599998
320,3.30719,320,3.4276615899629315
330,3.30715,330,3.425658619325865
340,3.307101,340,3.423655648688799
350,3.307086,350,3.4216526780517325
360,3.307069,360,3.419649707414666
370,3.307069,370,3.4178794501712026
380,3.307082,380,3.416109192927739
390,3.307063,390,3.4143389356842757
400,3.307069,400,3.4125686784408122
410,3.307088,410,3.4107984211973488
420,3.307076,420,3.4090281639538853
430,3.307086,430,3.407442175461302
440,3.307105,440,3.4058561869687187
450,3.307141,450,3.4042701984761354
460,3.307169,460,3.4026842099835526
470,3.307186,470,3.4010982214909693
480,3.307199,480,3.399512232998386
490,3.307233,490,3.3980770930429807
500,3.307262,500,3.3966419530875753
510,3.307279,510,3.3952068131321695
520,3.307319,520,3.393771673176764
530,3.307341,530,3.392336533221359
540,3.307374,540,3.3909013932659535
550,3.307404,550,3.3895929679899797
560,3.307421,560,3.3882845427140063
570,3.307466,570,3.3869761174380324
580,3.307491,580,3.3856676921620585
590,3.30754,590,3.384359266886085
600,3.307527,600,3.3830508416101113
610,3.307565,610,3.3818499604525205
620,3.307599,620,3.3806490792949297
630,3.307633,630,3.3794481981373385
640,3.30765,640,3.378247316979748
650,3.307667,650,3.377046435822157
660,3.307703,660,3.3758455546645663
670,3.307724,670,3.3747384389770043
680,3.307778,680,3.373631323289442
690,3.307805,690,3.37252420760188
700,3.307827,700,3.371417091914318
710,3.307867,710,3.3703099762267557
720,3.30789,720,3.3692028605391937
730,3.30789,730,3.368178230152603
740,3.30792,740,3.3671535997660125
750,3.30796,750,3.366128969379422
760,3.307966,760,3.365104338992831
770,3.307994,770,3.36407970860624
780,3.308011,780,3.3630550782196496
790,3.30806,790,3.3621035743045486
800,3.308051,800,3.3611520703894473
810,3.308077,810,3.3602005664743464
820,3.308115,820,3.3592490625592455
830,3.308121,830,3.358297558644144
840,3.308159,840,3.3573460547290432
850,3.308185,850,3.356459550132981
860,3.308191,860,3.3555730455369184
870,3.308232,870,3.354686540940856
880,3.308249,880,3.353800036344794
890,3.308274,890,3.3529135317487313
900,3.308291,900,3.352027027152669
910,3.30831,910,3.3511991926113365
920,3.308308,920,3.350371358070004
930,3.308348,930,3.349543523528671
940,3.308361,940,3.348715688987338
950,3.308367,950,3.3478878544460056
960,3.308384,960,3.347060019904673
970,3.308418,970,3.346284894346713
980,3.308435,980,3.3455097687887525
990,3.308446,990,3.3447346432307925
1000,3.308465,1000,3.3439595176728325
1010,3.308471,1010,3.343184392114872
1020,3.308501,1020,3.342409266556912
1030,3.30849,1030,3.3416831652480163
1040,3.308533,1040,3.340957063939121
1050,3.30855,1050,3.3402309626302253
1060,3.308548,1060,3.3395048613213296
1070,3.308586,1070,3.3387787600124343
1080,3.308588,1080,3.3380526587035386
1090,3.308596,1090,3.3373709943624394
1100,3.30862,1100,3.3366893300213403
1110,3.308641,1110,3.336007665680241
1120,3.308647,1120,3.3353260013391415
1130,3.308639,1130,3.3346443369980423
1140,3.308669,1140,3.333962672656943
1150,3.308683,1150,3.3333216812880804
1160,3.308696,1160,3.332680689919217
1170,3.308701,1170,3.3320396985503544
1180,3.308728,1180,3.3313987071814917
1190,3.308724,1190,3.3307577158126285
1200,3.308737,1200,3.3301167244437657
1210,3.308766,1210,3.3295133314360466
1220,3.308764,1220,3.328909938428328
1230,3.308788,1230,3.3283065454206087
1240,3.30879,1240,3.3277031524128895
1250,3.308785,1250,3.3270997594051708
1260,3.308811,1260,3.3264963663974516
1270,3.308815,1270,3.325927874028595
1280,3.308819,1280,3.325359381659738
1290,3.308836,1290,3.324790889290881
1300,3.308834,1300,3.3242223969220244
1310,3.308855,1310,3.3236539045531677
1320,3.308838,1320,3.323085412184311
1330,3.308874,1330,3.3225493749000403
1340,3.308879,1340,3.32201333761577
1350,3.308887,1350,3.3214773003315
1360,3.308883,1360,3.3209412630472293
1370,3.308883,1370,3.3204052257629586
1380,3.308885,1380,3.3198691884786884
1390,3.308913,1390,3.3193633538590763
1400,3.308908,1400,3.3188575192394643
1410,3.308915,1410,3.318351684619852
1420,3.308942,1420,3.31784585000024
1430,3.308913,1430,3.317340015380628
1440,3.308929,1440,3.316834180761016
1450,3.308938,1450,3.3163566031066893
1460,3.308942,1460,3.315879025452363
1470,3.308955,1470,3.3154014477980365
1480,3.308951,1480,3.31492387014371
1490,3.308968,1490,3.3144462924893836
1500,3.308955,1500,3.313968714835057
1510,3.308966,1510,3.3135174629400734
1520,3.308985,1520,3.3130662110450895
1530,3.308974,1530,3.312614959150106
1540,3.308972,1540,3.3121637072551224
1550,3.309,1550,3.3117124553601385
1560,3.309,1560,3.311261203465155
1570,3.308989,1570,3.310834637474949
1580,3.309023,1580,3.3104080714847437
1590,3.309008,1590,3.309981505494538
1600,3.309036,1600,3.309554939504332
1610,3.30901,1610,3.3091283735141266
1620,3.309006,1620,3.3087018075239207
1630,3.309029,1630,3.308298410314951
1640,3.309027,1640,3.3078950131059814
1650,3.309027,1650,3.307491615897012
1660,3.309031,1660,3.307088218688042
1670,3.309025,1670,3.3066848214790725
1680,3.309036,1680,3.306281424270103
1690,3.309047,1690,3.305899692934422
1700,3.309038,1700,3.3055179615987416
1710,3.309049,1710,3.3051362302630607
1720,3.309053,1720,3.30475449892738
1730,3.309055,1730,3.3043727675916994
1740,3.309042,1740,3.3039910362560185
1750,3.309063,1750,3.3036297811928996
1760,3.309063,1760,3.3032685261297803
1770,3.309049,1770,3.3029072710666614
1780,3.309055,1780,3.3025460160035425
1790,3.309061,1790,3.302184760940423
1800,3.309063,1800,3.301823505877304
1810,3.309091,1810,3.3014815159125313
1820,3.309055,1820,3.301139525947758
1830,3.309074,1830,3.3007975359829844
1840,3.309057,1840,3.3004555460182115
1850,3.309063,1850,3.300113556053438
1860,3.309063,1860,3.299771566088665
1870,3.309063,1870,3.299447745696093
1880,3.309087,1880,3.2991239253035216
1890,3.309063,1890,3.29880010491095
1900,3.309072,1900,3.298476284518378
1910,3.309057,1910,3.298152464125806
1920,3.30904,1920,3.2978286437332347
1930,3.309061,1930,3.2975219901030908
1940,3.309074,1940,3.297215336472947
1950,3.30907,1950,3.296908682842803
1960,3.309063,1960,3.296602029212659
1970,3.309049,1970,3.296295375582515
1980,3.309063,1980,3.295988721952371
1990,3.309036,1990,3.2956982270403574
2000,3.309059,2000,3.295407732128344
2010,3.309059,2010,3.2951172372163304
2020,3.309068,2020,3.2948267423043167
2030,3.309044,2030,3.2945362473923034
2040,3.309061,2040,3.2942457524802897
2050,3.309042,2050,3.29397050305802
2060,3.309057,2060,3.2936952536357498
2070,3.309044,2070,3.2934200042134796
2080,3.309057,2080,3.29314475479121
2090,3.309047,2090,3.29286950536894
2100,3.309066,2100,3.29259425594667
2110,3.30904,2110,3.292333481407071
2120,3.309051,2120,3.2920727068674718
2130,3.309044,2130,3.2918119323278727
2140,3.30904,2140,3.291551157788274
2150,3.309044,2150,3.291290383248675
2160,3.309034,2160,3.291029608709076
2170,3.309031,2170,3.2907825224673286
2180,3.309034,2180,3.2905354362255816
2190,3.309027,2190,3.2902883499838342
2200,3.309017,2200,3.290041263742087
2210,3.309014,2210,3.28979417750034
2220,3.309025,2220,3.2895470912585925
2230,3.309034,2230,3.289312909890584
2240,3.309006,2240,3.289078728522576
2250,3.309014,2250,3.2888445471545675
2260,3.309004,2260,3.288610365786559
2270,3.308993,2270,3.288376184418551
2280,3.309004,2280,3.2881420030505426
2290,3.309,2290,3.2879200732540563
2300,3.308987,2300,3.28769814345757
2310,3.30897,2310,3.287476213661084
2320,3.309,2320,3.2872542838645975
2330,3.308987,2330,3.2870323540681112
2340,3.308976,2340,3.286810424271625
2350,3.308983,2350,3.2866000694619713
2360,3.308974,2360,3.286389714652317
2370,3.308985,2370,3.2861793598426634
2380,3.308991,2380,3.2859690050330097
2390,3.308966,2390,3.2857586502233556
2400,3.308966,2400,3.285548295413702
2410,3.308961,2410,3.285348948965474
2420,3.308974,2420,3.285149602517246
2430,3.308983,2430,3.284950256069018
2440,3.308962,2440,3.28475090962079
2450,3.308942,2450,3.2845515631725624
2460,3.308955,2460,3.284352216724334
2470,3.308953,2470,3.284163265107704
2480,3.30894,2480,3.283974313491074
2490,3.308953,2490,3.283785361874444
2500,3.308936,2500,3.2835964102578146
2510,3.308951,2510,3.2834074586411846
2520,3.308928,2520,3.2832185070245545
2530,3.308936,2530,3.283039428308582
2540,3.308913,2540,3.28286034959261
2550,3.308917,2550,3.2826812708766373
2560,3.308923,2560,3.2825021921606647
