real_time,real_voltage,simu_time,simu_voltage
0,3.328943,0,3.53448660952854
10,3.308121,10,3.494391534259013
20,3.298708,20,3.454296458989486
30,3.292533,30,3.414201383719959
40,3.288349,40,3.374106308450432
50,3.285487,50,3.334011233180905
60,3.283618,60,3.29410733037428
70,3.282428,70,3.2889968158157656
80,3.281739,80,3.2838863012572514
90,3.281348,90,3.2787757866987373
100,3.281164,100,3.273665272140223
110,3.281094,110,3.268554757581709
120,3.281121,120,3.263482223705927
130,3.281142,130,3.261846941617433
140,3.281249,140,3.2602116595289394
150,3.281321,150,3.2585763774404457
160,3.28141,160,3.256941095351952
170,3.281518,170,3.2553058132634582
180,3.281605,180,3.253688561542239
190,3.281688,190,3.253153131857504
200,3.281777,200,3.252617702172769
210,3.281855,210,3.2520822724880345
220,3.281921,220,3.2515468428032994
230,3.282019,230,3.2510114131185643
240,3.282082,240,3.2504849551373796
250,3.282144,250,3.2503599808900603
260,3.282214,260,3.2502350066427415
270,3.282282,270,3.250110032395422
280,3.282333,280,3.249985058148103
290,3.282373,290,3.249860083900784
300,3.28242,300,3.249739397364354
310,3.282483,310,3.24977135333558
320,3.28249,320,3.249803309306806
330,3.282543,330,3.249835265278032
340,3.282557,340,3.249867221249258
350,3.282636,350,3.249899177220484
360,3.282647,360,3.249932942643959
370,3.282687,370,3.250020086908771
380,3.282736,380,3.2501072311735832
390,3.282751,390,3.250194375438395
400,3.282776,400,3.2502815197032073
410,3.282795,410,3.250368663968019
420,3.282838,420,3.250456323093849
430,3.28284,430,3.2505569272966954
440,3.282857,440,3.250657531499542
450,3.282889,450,3.2507581357023887
460,3.28291,460,3.2508587399052353
470,3.282925,470,3.250959344108082
480,3.282925,480,3.251059828916771
490,3.282935,490,3.251157701978259
500,3.282929,500,3.2512555750397474
510,3.282965,510,3.2513534481012356
520,3.282971,520,3.251451321162724
530,3.282967,530,3.251549194224212
540,3.282969,540,3.2516466269229083
550,3.282993,550,3.2517355459409543
560,3.282988,560,3.251824464959
570,3.282997,570,3.2519133839770458
580,3.28298,580,3.2520023029950917
590,3.28299,590,3.2520912220131377
600,3.28299,600,3.252179598789788
610,3.282982,610,3.25225859479029
620,3.282993,620,3.2523375907907917
630,3.283014,630,3.2524165867912935
640,3.282989,640,3.2524955827917954
650,3.282986,650,3.2525745787922973
660,3.28299,660,3.2526529860164772
670,3.282978,670,3.2527221869199834
680,3.282978,680,3.252791387823489
690,3.282986,690,3.2528605887269952
700,3.282954,700,3.2529297896305014
710,3.282963,710,3.2529989905340075
720,3.282944,720,3.2530676095007394
730,3.282937,730,3.253127935868436
740,3.282923,740,3.253188262236133
750,3.282916,750,3.25324858860383
760,3.282903,760,3.2533089149715266
770,3.282887,770,3.2533692413392234
780,3.282874,780,3.2534290149609943
790,3.282855,790,3.253481560366809
800,3.282838,800,3.2535341057726237
810,3.282838,810,3.2535866511784386
820,3.282812,820,3.253639196584253
830,3.282795,830,3.253691741990068
840,3.282797,840,3.2537437590661913
850,3.28277,850,3.2537893984481845
860,3.282755,860,3.2538350378301772
870,3.282744,870,3.2538806772121704
880,3.282693,880,3.253926316594163
890,3.282681,890,3.2539719559761564
900,3.282679,900,3.2540171034099017
910,3.282653,910,3.254056741023275
920,3.282632,920,3.2540963786366484
930,3.282632,930,3.2541360162500217
940,3.282592,940,3.254175653863395
950,3.282581,950,3.2542152914767684
960,3.282549,960,3.2542544550529064
970,3.282521,970,3.254288670865402
980,3.282501,980,3.254322886677898
990,3.282466,990,3.254357102490394
1000,3.282469,1000,3.25439131830289
1010,3.282452,1010,3.254425534115386
1020,3.282424,1020,3.254459314198393
1030,3.282401,1030,3.2544888395110987
1040,3.28236,1040,3.254518364823804
1050,3.282324,1050,3.2545478901365095
1060,3.28231,1060,3.254577415449215
1070,3.282269,1070,3.2546069407619203
1080,3.282261,1080,3.254636090716847
1090,3.282244,1090,3.254661799892134
1100,3.282178,1100,3.254687509067421
1110,3.282161,1110,3.2547132182427085
1120,3.282125,1120,3.254738927417996
1130,3.282097,1130,3.2547646365932827
1140,3.282061,1140,3.2547899198189603
1150,3.282051,1150,3.254811526426953
1160,3.282006,1160,3.254833133034946
1170,3.281974,1170,3.2548547396429384
1180,3.281953,1180,3.2548763462509314
1190,3.281921,1190,3.254897952858924
1200,3.281906,1200,3.2549191882871176
1210,3.281859,1210,3.25493739859995
1220,3.281821,1220,3.2549556089127822
1230,3.281798,1230,3.2549738192256146
1240,3.281741,1240,3.254992029538447
1250,3.281713,1250,3.2550102398512792
1260,3.281696,1260,3.2550281085404764
1270,3.281647,1270,3.2550433418473417
1280,3.281624,1280,3.255058575154207
1290,3.281575,1290,3.2550738084610726
1300,3.281533,1300,3.255089041767938
1310,3.281488,1310,3.255104275074803
1320,3.281455,1320,3.255119168559715
1330,3.281452,1330,3.2551315751657866
1340,3.281393,1340,3.2551439817718575
1350,3.281331,1350,3.255156388377929
1360,3.281298,1360,3.255168794984
1370,3.281274,1370,3.255181201590071
1380,3.281242,1380,3.25519328606315
1390,3.281202,1390,3.2552031296110626
1400,3.281136,1400,3.255212973158976
1410,3.281104,1410,3.255222816706889
1420,3.281077,1420,3.255232660254802
1430,3.281024,1430,3.255242503802715
1440,3.280981,1440,3.2552520379846137
1450,3.280937,1450,3.2552595226166656
1460,3.280886,1460,3.255267007248718
1470,3.280858,1470,3.2552744918807703
1480,3.280803,1480,3.2552819765128223
1490,3.280776,1490,3.2552894611448746
1500,3.280705,1500,3.255296648809164
1510,3.280648,1510,3.255301959637195
1520,3.280614,1520,3.255307270465225
1530,3.28058,1530,3.2553125812932557
1540,3.280551,1540,3.2553178921212864
1550,3.280498,1550,3.2553232029493167
1560,3.280438,1560,3.2553282273018147
1570,3.280387,1570,3.2553315217828285
1580,3.280354,1580,3.2553348162638422
1590,3.280303,1590,3.255338110744856
1600,3.280245,1600,3.25534140522587
1610,3.280182,1610,3.2553446997068836
1620,3.280141,1620,3.2553477162152427
1630,3.280069,1630,3.255349126659376
1640,3.280035,1640,3.2553505371035096
1650,3.279978,1650,3.255351947547643
1660,3.27994,1660,3.2553533579917766
1670,3.279893,1670,3.25535476843591
1680,3.27984,1680,3.255355913583968
1690,3.279764,1690,3.2553555901287496
1700,3.279732,1700,3.2553552666735315
1710,3.279687,1710,3.2553549432183133
1720,3.279638,1720,3.2553546197630956
1730,3.279575,1730,3.2553542963078774
1740,3.279515,1740,3.255353713130017
1750,3.279467,1750,3.2553517507353686
1760,3.279399,1760,3.25534978834072
1770,3.279335,1770,3.2553478259460715
1780,3.279303,1780,3.2553458635514225
1790,3.279257,1790,3.255343901156774
1800,3.279185,1800,3.255341690040329
1810,3.279132,1810,3.2553382104427206
1820,3.27907,1820,3.2553347308451124
1830,3.279006,1830,3.255331251247504
1840,3.27894,1840,3.255327771649896
1850,3.278877,1850,3.255324292052288
1860,3.278811,1860,3.255320568405202
1870,3.278743,1870,3.255315648128419
1880,3.278695,1880,3.255310727851636
1890,3.278631,1890,3.255305807574853
1900,3.278576,1900,3.2553008872980698
1910,3.278489,1910,3.255295967021287
1920,3.278438,1920,3.255290810349733
1930,3.278374,1930,3.2552845381903537
1940,3.278321,1940,3.2552782660309747
1950,3.278244,1950,3.2552719938715953
1960,3.278213,1960,3.2552657217122163
1970,3.278113,1970,3.2552594495528373
1980,3.278049,1980,3.2552529459755304
1990,3.277977,1990,3.255245390498553
2000,3.277912,2000,3.2552378350215756
2010,3.277827,2010,3.255230279544598
2020,3.277765,2020,3.255222724067621
2030,3.27768,2030,3.2552151685906434
2040,3.277623,2040,3.255207386760157
2050,3.277553,2050,3.255198612968707
2060,3.27747,2060,3.255189839177257
2070,3.277413,2070,3.255181065385807
2080,3.277332,2080,3.2551722915943566
2090,3.27725,2090,3.2551635178029064
2100,3.27718,2100,3.255154523041367
2110,3.277116,2110,3.255144593892021
2120,3.277048,2120,3.255134664742675
2130,3.276961,2130,3.2551247355933293
2140,3.276887,2140,3.255114806443983
2150,3.276821,2150,3.255104877294637
2160,3.27673,2160,3.255094731463105
2170,3.276658,2170,3.2550837008459776
2180,3.276575,2180,3.2550726702288504
2190,3.276488,2190,3.255061639611723
2200,3.276391,2200,3.255050608994596
2210,3.276323,2210,3.2550395783774686
2220,3.276223,2220,3.255028335084845
2230,3.276176,2230,3.2550162525862096
2240,3.276072,2240,3.255004170087574
2250,3.275998,2250,3.254992087588938
2260,3.275896,2260,3.254980005090302
2270,3.275818,2270,3.2549679225916663
2280,3.275724,2280,3.2549556309499272
2290,3.275657,2290,3.2549425412621344
2300,3.275557,2300,3.254929451574342
2310,3.275478,2310,3.2549163618865498
2320,3.275374,2320,3.254903272198757
2330,3.275294,2330,3.2548901825109646
2340,3.275177,2340,3.2548768852236436
2350,3.275092,2350,3.2548628214149873
2360,3.275022,2360,3.2548487576063305
2370,3.274914,2370,3.254834693797674
2380,3.274808,2380,3.2548206299890174
2390,3.274736,2390,3.2548065661803607
2400,3.274619,2400,3.254792300106233
2410,3.274519,2410,3.254777310933046
2420,3.274432,2420,3.2547623217598582
2430,3.274326,2430,3.254747332586671
2440,3.274231,2440,3.2547323434134836
2450,3.274144,2450,3.2547173542402965
2460,3.274029,2460,3.254702159712664
2470,3.27393,2470,3.254686253957441
2480,3.2738,2480,3.254670348202218
2490,3.273686,2490,3.254654442446995
2500,3.273609,2500,3.254638536691772
2510,3.273499,2510,3.254622630936549
2520,3.273393,2520,3.254606522072877
2530,3.273304,2530,3.2545897313451246
2540,3.273166,2540,3.254572940617373
2550,3.273047,2550,3.2545561498896207
2560,3.272973,2560,3.254539359161869
2570,3.272846,2570,3.254522568434117
2580,3.272725,2580,3.2545055738313358
2590,3.27261,2590,3.25448791544939
2600,3.272498,2600,3.254470257067444
2610,3.272375,2610,3.2544525986854986
2620,3.272262,2620,3.2544349403035526
2630,3.27215,2630,3.2544172819216066
2640,3.27202,2640,3.2543994196164148
2650,3.271878,2650,3.254380913099149
2660,3.271774,2660,3.2543624065818837
2670,3.271636,2670,3.254343900064618
2680,3.271511,2680,3.254325393547352
2690,3.271401,2690,3.2543068870300864
2700,3.271263,2700,3.25428817536883
2710,3.271148,2710,3.2542688345993342
2720,3.271011,2720,3.2542494938298385
2730,3.270868,2730,3.254230153060343
2740,3.270745,2740,3.254210812290847
2750,3.270612,2750,3.2541914715213514
2760,3.270497,2760,3.254171924041912
2770,3.270342,2770,3.2541517609263346
2780,3.270221,2780,3.2541315978107574
