real_time,real_voltage,simu_time,simu_voltage
0.0,3.311722,0.0,3.229525791011099
10.0,3.246109,10.0,3.2283814150861563
20.0,3.22967,20.0,3.2272370391612135
30.0,3.223407,30.0,3.2260926632362708
40.0,3.220923,40.0,3.2249482873113284
50.0,3.219805,50.0,3.2238039113863857
60.0,3.219181,60.0,3.2226930826035556
70.0,3.218835,70.0,3.222555120941991
80.0,3.218621,80.0,3.2224171592804263
90.0,3.218511,90.0,3.222279197618862
100.0,3.218415,100.0,3.2221412359572974
110.0,3.218351,110.0,3.2220032742957327
120.0,3.218324,120.0,3.2218679575053355
130.0,3.218311,130.0,3.2217696689112763
140.0,3.218256,140.0,3.221671380317217
150.0,3.218214,150.0,3.221573091723158
160.0,3.218209,160.0,3.221474803129099
170.0,3.218173,170.0,3.22137651453504
180.0,3.218129,180.0,3.2212791622594494
190.0,3.218092,190.0,3.2211902368500778
200.0,3.218029,200.0,3.221101311440706
210.0,3.217974,210.0,3.2210123860313344
220.0,3.217918,220.0,3.2209234606219628
230.0,3.217865,230.0,3.220834535212591
240.0,3.2178,240.0,3.2207459900716997
250.0,3.21773,250.0,3.220659916675931
260.0,3.217634,260.0,3.220573843280163
270.0,3.217556,270.0,3.220487769884395
280.0,3.21746,280.0,3.2204016964886266
290.0,3.217392,290.0,3.220315623092858
300.0,3.21728,300.0,3.2202286700736007
310.0,3.217182,310.0,3.2201373189368967
320.0,3.217079,320.0,3.2200459678001927
330.0,3.216958,330.0,3.2199546166634887
340.0,3.216866,340.0,3.2198632655267847
350.0,3.216735,350.0,3.2197719143900807
360.0,3.216624,360.0,3.219677110250601
370.0,3.216497,370.0,3.219568494100018
380.0,3.216368,380.0,3.219459877949435
390.0,3.216211,390.0,3.219351261798852
400.0,3.216099,400.0,3.219242645648269
410.0,3.215952,410.0,3.219134029497686
420.0,3.215823,420.0,3.2190168322602757
430.0,3.215657,430.0,3.2188714400232894
440.0,3.215513,440.0,3.2187260477863036
450.0,3.215352,450.0,3.2185806555493177
460.0,3.215205,460.0,3.218435263312332
470.0,3.21504,470.0,3.218289871075346
480.0,3.214891,480.0,3.2181266240463486
490.0,3.214713,490.0,3.2179142763393194
500.0,3.214552,500.0,3.2177019286322905
510.0,3.21438,510.0,3.2174895809252617
520.0,3.214236,520.0,3.217277233218233
530.0,3.214019,530.0,3.217064885511204
540.0,3.213862,540.0,3.21682118413757
550.0,3.213682,550.0,3.2165043242085245
560.0,3.213508,560.0,3.216187464279479
570.0,3.213317,570.0,3.2158706043504335
580.0,3.213137,580.0,3.215553744421388
590.0,3.212952,590.0,3.2152368844923425
600.0,3.212734,600.0,3.214871428367614
610.0,3.212568,610.0,3.2144087798515186
620.0,3.212356,620.0,3.2139461313354234
630.0,3.212151,630.0,3.213483482819328
640.0,3.211938,640.0,3.2130208343032334
650.0,3.211768,650.0,3.212558185787138
660.0,3.211514,660.0,3.2120245453536853
670.0,3.21135,670.0,3.2113682825175247
680.0,3.211141,680.0,3.210712019681364
690.0,3.210911,690.0,3.2100557568452035
700.0,3.210695,700.0,3.209399494009043
710.0,3.210479,710.0,3.2087432311728823
720.0,3.210275,720.0,3.2079996046895483
730.0,3.210035,730.0,3.2071249327354536
740.0,3.209823,740.0,3.2062502607813594
750.0,3.209602,750.0,3.2053755888272653
760.0,3.209348,760.0,3.2045009168731706
770.0,3.209136,770.0,3.2036262449190764
780.0,3.208905,780.0,3.20267915732498
790.0,3.208688,790.0,3.2016373723554965
800.0,3.208451,800.0,3.2005955873860135
810.0,3.208221,810.0,3.19955380241653
820.0,3.207988,820.0,3.1985120174470465
830.0,3.207755,830.0,3.197470232477563
840.0,3.207489,840.0,3.196411068198121
850.0,3.207256,850.0,3.195332041850155
860.0,3.207031,860.0,3.1942530155021887
870.0,3.206783,870.0,3.193173989154223
880.0,3.206571,880.0,3.1920949628062565
890.0,3.206304,890.0,3.1910159364582906
900.0,3.206066,900.0,3.189990025927825
910.0,3.205812,910.0,3.189017231214861
920.0,3.20554,920.0,3.188044436501896
930.0,3.2053,930.0,3.1870716417889313
940.0,3.20508,940.0,3.186098847075967
950.0,3.204835,950.0,3.1851260523630023
960.0,3.204568,960.0,3.184256883879275
970.0,3.204314,970.0,3.1834783883461304
980.0,3.204066,980.0,3.1826998928129857
990.0,3.203821,990.0,3.1819213972798415
1000.0,3.20358,1000.0,3.181142901746697
1010.0,3.203336,1010.0,3.180364406213552
1020.0,3.203071,1020.0,3.179701766867523
1030.0,3.20281,1030.0,3.1791277234292874
1040.0,3.20258,1040.0,3.1785536799910523
1050.0,3.20232,1050.0,3.177979636552817
1060.0,3.202059,1060.0,3.1774055931145817
1070.0,3.201813,1070.0,3.176831549676346
1080.0,3.201586,1080.0,3.1763531039606967
1090.0,3.201308,1090.0,3.1759383900601037
1100.0,3.201085,1100.0,3.175523676159511
1110.0,3.200811,1110.0,3.175108962258918
1120.0,3.200561,1120.0,3.1746942483583256
1130.0,3.200306,1130.0,3.1742795344577326
1140.0,3.200067,1140.0,3.173933083736564
1150.0,3.199805,1150.0,3.173626153803483
1160.0,3.199534,1160.0,3.173319223870402
1170.0,3.199263,1170.0,3.173012293937321
1180.0,3.199055,1180.0,3.17270536400424
1190.0,3.198785,1190.0,3.1723984340711593
1200.0,3.198531,1200.0,3.1721368314751084
1210.0,3.198274,1210.0,3.171897892547573
1220.0,3.198024,1220.0,3.1716589536200375
1230.0,3.19776,1230.0,3.171420014692502
1240.0,3.19754,1240.0,3.1711810757649666
1250.0,3.197279,1250.0,3.170942136837431
1260.0,3.197009,1260.0,3.1707285544712027
1270.0,3.196764,1270.0,3.170525839202677
1280.0,3.196498,1280.0,3.170323123934152
1290.0,3.196263,1290.0,3.170120408665627
1300.0,3.195985,1300.0,3.169917693397102
1310.0,3.195739,1310.0,3.1697149781285763
1320.0,3.195497,1320.0,3.16952586082377
1330.0,3.195232,1330.0,3.1693416882330436
1340.0,3.194975,1340.0,3.169157515642317
1350.0,3.194712,1350.0,3.168973343051591
1360.0,3.194438,1360.0,3.1687891704608644
1370.0,3.194175,1370.0,3.168604997870138
1380.0,3.193938,1380.0,3.1684274047377743
1390.0,3.193672,1390.0,3.16825181404926
1400.0,3.193413,1400.0,3.168076223360746
1410.0,3.193138,1410.0,3.1679006326722323
1420.0,3.192892,1420.0,3.167725041983718
1430.0,3.192618,1430.0,3.167549451295204
1440.0,3.192353,1440.0,3.167373451363455
1450.0,3.192109,1450.0,3.1671973491208973
1460.0,3.191844,1460.0,3.1670212468783396
1470.0,3.191561,1470.0,3.166845144635782
1480.0,3.191315,1480.0,3.166669042393224
1490.0,3.191035,1490.0,3.1664929401506665
1500.0,3.190789,1500.0,3.1663142573165097
1510.0,3.190524,1510.0,3.166135058364033
1520.0,3.190221,1520.0,3.1659558594115564
1530.0,3.189953,1530.0,3.16577666045908
1540.0,3.189703,1540.0,3.165597461506603
1550.0,3.189431,1550.0,3.1654182625541267
1560.0,3.189139,1560.0,3.1652332714816795
1570.0,3.188863,1570.0,3.165047389313852
1580.0,3.188587,1580.0,3.1648615071460244
1590.0,3.188322,1590.0,3.164675624978197
1600.0,3.188036,1600.0,3.1644897428103698
1610.0,3.187741,1610.0,3.1643038606425424
1620.0,3.187446,1620.0,3.164109535411141
1630.0,3.187172,1630.0,3.163914272061565
1640.0,3.186867,1640.0,3.163719008711989
1650.0,3.186606,1650.0,3.1635237453624128
1660.0,3.186305,1660.0,3.1633284820128362
1670.0,3.18601,1670.0,3.16313321866326
1680.0,3.185732,1680.0,3.1629282865046306
1690.0,3.185413,1690.0,3.1627226637167833
1700.0,3.185148,1700.0,3.1625170409289356
1710.0,3.184836,1710.0,3.1623114181410883
1720.0,3.184537,1720.0,3.1621057953532405
1730.0,3.184257,1730.0,3.1619001725653932
1740.0,3.183933,1740.0,3.1616813221766478
1750.0,3.183638,1750.0,3.1614620156637336
1760.0,3.183322,1760.0,3.1612427091508195
1770.0,3.183014,1770.0,3.161023402637905
1780.0,3.182728,1780.0,3.160804096124991
1790.0,3.18241,1790.0,3.1605847896120767
1800.0,3.182085,1800.0,3.1603505848223348
1810.0,3.181784,1810.0,3.1601163800325933
1820.0,3.181438,1820.0,3.1598821752428514
1830.0,3.181115,1830.0,3.1596479704531095
1840.0,3.180791,1840.0,3.1594137656633676
1850.0,3.180462,1850.0,3.159178938659351
1860.0,3.180135,1860.0,3.1589260674413637
1870.0,3.179783,1870.0,3.158673196223376
1880.0,3.179486,1880.0,3.1584203250053884
1890.0,3.179142,1890.0,3.158167453787401
1900.0,3.178795,1900.0,3.1579145825694135
1910.0,3.178462,1910.0,3.157660274824005
1920.0,3.17812,1920.0,3.1573858556947
1930.0,3.17778,1930.0,3.1571114365653954
