Solution,RMSE,C1,C2
"[0.25775538 0.25227749 0.88133154 0.49336481 0.95085987 0.99445184
 0.83194088 0.05087092 0.85751849 0.07996746 0.2332579  0.58745133
 0.54296825 0.36679241 0.46771058 0.15531905 0.09343401 0.53529359
 0.56544204 0.47918341 0.9913339  0.68209226 0.35372945 0.450119
 0.88510356 0.66374537 0.2393225  0.70300462 0.62797065 0.52192696
 0.3568793  0.52221383]",0.0354220002749121,0.0013522577865424067,-0.008151164749238871
"[0.25775538 0.19850001 0.90848082 0.55030321 0.8740499  0.9359552
 0.83055012 0.03561947 0.85751849 0.17410462 0.24621675 0.61003394
 0.49703509 0.36679241 0.45018875 0.12191311 0.14482665 0.52489408
 0.5503261  0.44038573 0.97999752 0.63990837 0.35085627 0.46938789
 0.86036123 0.67264999 0.16601618 0.80077082 0.59307627 0.54114248
 0.42975659 0.5218363 ]",0.03546211831565404,0.001342057506245397,-0.007887982452255263
"[0.25852943 0.19948167 0.92383358 0.52552172 0.8740499  0.94089977
 0.84458414 0.01679543 0.85751849 0.1938451  0.26808329 0.60053251
 0.48392844 0.34337815 0.47836707 0.12944915 0.14482665 0.52489408
 0.52697216 0.43560925 0.99951818 0.64897859 0.36776337 0.450119
 0.86036123 0.66518287 0.15824438 0.80077082 0.58736056 0.55483342
 0.4280742  0.52216709]",0.0355457933094738,0.0008169961091465186,-0.008759415712474431
"[0.25775538 0.17870954 0.92383358 0.55030321 0.85770285 0.94122139
 0.85462435 0.00519988 0.85751849 0.20489459 0.26313933 0.64433454
 0.44120246 0.35577332 0.47396234 0.10951221 0.1364543  0.51554349
 0.57319526 0.44038573 0.97999752 0.6278195  0.33587396 0.450119
 0.89720749 0.68252376 0.13576167 0.77322219 0.5897893  0.5554867
 0.40933488 0.49411002]",0.03561510171980621,0.001463659882376702,-0.00886038474976047
"[0.26744448 0.18513678 0.92383358 0.5272475  0.8740499  0.95039195
 0.83055012 0.02017746 0.86966494 0.19367484 0.28385724 0.59714634
 0.48392844 0.36679241 0.47396234 0.14095611 0.16235048 0.51883793
 0.5177369  0.44524048 0.97999752 0.65593195 0.3378307  0.450119
 0.8556503  0.68613433 0.16601618 0.80077082 0.61007309 0.56253461
 0.40933488 0.51666298]",0.03580417433965081,0.000652206111615844,-0.008182510743300443
"[0.25775538 0.17870954 0.94039137 0.54718562 0.85110242 0.93897137
 0.83055012 0.03614451 0.85388587 0.19367484 0.26313933 0.6040191
 0.48392844 0.34313637 0.4655358  0.1096108  0.15210152 0.50932641
 0.56077446 0.44038573 0.96239472 0.64324879 0.35372945 0.450119
 0.86036123 0.68613433 0.14476826 0.79086116 0.58736056 0.53775441
 0.40933488 0.48868432]",0.03582877063261792,0.0005897731296330283,-0.008607339787189994
"[0.25775538 0.18078372 0.92383358 0.55030321 0.8740499  0.94228993
 0.82086153 0.02862271 0.85751849 0.21171709 0.26198478 0.62030489
 0.50001827 0.39129705 0.46858283 0.11830988 0.1488353  0.52489408
 0.53647085 0.41588739 0.98575049 0.65593195 0.37214409 0.44942377
 0.87225602 0.68613433 0.16309457 0.7926172  0.58736056 0.56253461
 0.39611383 0.5054346 ]",0.03592624254536529,0.0008406904049445239,-0.007300143422179037
"[0.25684605 0.20364436 0.90209071 0.53057235 0.88789345 0.96529167
 0.82865035 0.03965487 0.86496245 0.20510238 0.27348748 0.59301724
 0.50553976 0.35972795 0.45689047 0.11830988 0.15160574 0.52489408
 0.53647085 0.45241324 0.97102693 0.67226886 0.35372945 0.45532244
 0.84397747 0.68100994 0.19046207 0.81417313 0.60762604 0.55149675
 0.40933488 0.5054346 ]",0.036002036333437244,0.00043401701689270433,-0.008140588380999694
"[0.25775538 0.17870954 0.93235147 0.53070111 0.83487813 0.94122139
 0.83876487 0.03332038 0.85751849 0.19056516 0.22505361 0.61003394
 0.44615798 0.36703033 0.51634785 0.11830988 0.15118173 0.54964261
 0.55874182 0.44038573 0.97999752 0.65593195 0.35372945 0.40623036
 0.86036123 0.73372036 0.16601618 0.76173915 0.55256365 0.53793069
 0.37226087 0.51332973]",0.03622759698646434,0.0018777286931036426,-0.008422025311176813
"[0.23726762 0.17827162 0.92383358 0.55030321 0.93705981 0.87324637
 0.8776848  0.01779395 0.85751849 0.23293362 0.22410381 0.59882426
 0.51417899 0.34568322 0.43047833 0.18424783 0.1665424  0.53529359
 0.53259585 0.36742106 0.9913339  0.65593195 0.35372945 0.450119
 0.77492176 0.7209806  0.11054154 0.75300985 0.62797065 0.54590495
 0.37570791 0.46238697]",0.036328647160178466,0.0001489501381395017,-0.0074695649151147216
