Solution,RMSE
"[0.7655307  0.07582218 0.37634022 0.58420515 0.3149862  0.73336325
 0.54345    0.89181288 0.1823271  0.00574288 0.92411043 0.21581415
 0.18336828 0.42118231 0.67326859 0.47928452 0.74365824 0.09835074
 0.87358888 0.1119802  0.94221728 0.90237819 0.9138607  0.23267186
 0.44477488 0.10200489]",0.029670880279650404
"[0.76439278 0.07518859 0.37478935 0.5851223  0.31432108 0.73329344
 0.54440975 0.8899173  0.18329033 0.00579488 0.92458041 0.21570931
 0.18293941 0.42251536 0.67232388 0.4780882  0.7418181  0.09783193
 0.87375807 0.11158117 0.94293024 0.90107979 0.91387675 0.23207769
 0.44402354 0.10200765]",0.029687558248086082
"[0.76438289 0.07520828 0.3748058  0.5850941  0.31434285 0.73329433
 0.54439776 0.88990646 0.18331018 0.00579531 0.92460013 0.2156873
 0.18291124 0.42251536 0.67231696 0.47807856 0.74183583 0.09784776
 0.8737323  0.11157936 0.94292277 0.90107966 0.91389119 0.23210607
 0.44404836 0.10200489]",0.029687887232374442
"[0.76439752 0.07519317 0.37480248 0.58509426 0.314322   0.73326526
 0.54439521 0.88992168 0.18331878 0.00579531 0.9245918  0.21571494
 0.18291999 0.42250978 0.67232816 0.47809422 0.74183201 0.09783014
 0.87374692 0.11159338 0.94292915 0.90105852 0.91389099 0.23209353
 0.44403033 0.10200697]",0.029688273725325023
"[0.76440198 0.07519317 0.37480248 0.58510295 0.31432108 0.73327551
 0.54439776 0.88992168 0.18331018 0.00579531 0.92460013 0.21570931
 0.18292313 0.42251536 0.67232816 0.47809422 0.74183583 0.09783193
 0.87374201 0.11158817 0.94292277 0.90105998 0.91389119 0.23208715
 0.44403159 0.10200489]",0.029688362705887317
"[0.76440104 0.07519317 0.3748052  0.58510388 0.31432991 0.73328019
 0.54439776 0.88992168 0.18330611 0.00579531 0.92460694 0.21571686
 0.18291913 0.42251536 0.67233364 0.47809749 0.7418458  0.09783725
 0.87375325 0.11158143 0.94292781 0.90107198 0.91388533 0.23208608
 0.44403241 0.10200489]",0.02968836271578491
"[0.76439633 0.07519684 0.37480248 0.58510327 0.31433187 0.73325442
 0.54438806 0.88992168 0.18331878 0.00579542 0.92459031 0.2157226
 0.18291215 0.42251964 0.67233525 0.4780978  0.7418236  0.09783294
 0.87374692 0.11160067 0.94292915 0.90105798 0.91389941 0.23209353
 0.44404092 0.10200697]",0.029688499107589954
"[0.76440724 0.07520233 0.37479753 0.58509426 0.31431362 0.73326526
 0.54439521 0.88992168 0.18332052 0.00579531 0.92459164 0.21570571
 0.18292197 0.4225117  0.67232652 0.47808502 0.74183201 0.09782702
 0.87374171 0.11158348 0.94291964 0.90106494 0.91389099 0.23209353
 0.44403033 0.10200613]",0.02968881336538916
"[0.764374   0.07519547 0.37483269 0.58512069 0.3143243  0.73324197
 0.54443505 0.88995608 0.18333677 0.00579675 0.92459787 0.21563057
 0.1829137  0.42252353 0.67239581 0.47811843 0.7418001  0.09778648
 0.87368502 0.11162222 0.94288359 0.90098951 0.91386072 0.23207548
 0.44403818 0.10199988]",0.029688882215472272
"[0.76440198 0.07519317 0.37478793 0.58509589 0.31429769 0.73327551
 0.54441077 0.88991644 0.18329484 0.00579531 0.92458014 0.21572954
 0.18290143 0.42251536 0.67232816 0.47807414 0.74183254 0.09783193
 0.87374245 0.11158817 0.94292349 0.90105998 0.91390607 0.23208715
 0.44403781 0.10200891]",0.029688895358349864
